signal_date,available_date,MLP
2020-01-02,2020-01-03,0.33203125
2020-01-03,2020-01-06,-0.1591796875
2020-01-06,2020-01-07,-0.333984375
2020-01-07,2020-01-08,-0.44140625
2020-01-08,2020-01-09,-0.03466796875
2020-01-09,2020-01-10,-0.84375
2020-01-10,2020-01-13,-0.6328125
2020-01-13,2020-01-14,-0.69140625
2020-01-14,2020-01-15,-0.046142578125
2020-01-15,2020-01-16,-0.349609375
2020-01-16,2020-01-17,-0.21875
2020-01-17,2020-01-20,-0.6953125
2020-01-20,2020-01-21,-0.09326171875
2020-01-21,2020-01-22,0.703125
2020-01-22,2020-01-23,0.71484375
2020-01-23,2020-02-03,0.251953125
2020-02-03,2020-02-04,0.1884765625
2020-02-04,2020-02-05,0.39453125
2020-02-05,2020-02-06,0.609375
2020-02-06,2020-02-07,0.453125
2020-02-07,2020-02-10,0.138671875
2020-02-10,2020-02-11,0.65234375
2020-02-11,2020-02-12,0.796875
2020-02-12,2020-02-13,0.3125
2020-02-13,2020-02-14,0.7734375
2020-02-14,2020-02-17,0.6875
2020-02-17,2020-02-18,0.470703125
2020-02-18,2020-02-19,0.109375
2020-02-19,2020-02-20,0.48046875
2020-02-20,2020-02-21,0.240234375
2020-02-21,2020-02-24,-0.314453125
2020-02-24,2020-02-25,-0.80078125
2020-02-25,2020-02-26,-0.39453125
2020-02-26,2020-02-27,-0.310546875
2020-02-27,2020-02-28,-0.8203125
2020-02-28,2020-03-02,0.5234375
2020-03-02,2020-03-03,-0.1484375
2020-03-03,2020-03-04,0.38671875
2020-03-04,2020-03-05,0.341796875
2020-03-05,2020-03-06,0.4609375
2020-03-06,2020-03-09,0.439453125
2020-03-09,2020-03-10,0.9296875
2020-03-10,2020-03-11,0.234375
2020-03-11,2020-03-12,0.1298828125
2020-03-12,2020-03-13,0.271484375
2020-03-13,2020-03-16,-0.0537109375
2020-03-16,2020-03-17,1.3203125
2020-03-17,2020-03-18,0.08740234375
2020-03-18,2020-03-19,0.83984375
2020-03-19,2020-03-20,0.2138671875
2020-03-20,2020-03-23,-0.234375
2020-03-23,2020-03-24,0.82421875
2020-03-24,2020-03-25,0.1826171875
2020-03-25,2020-03-26,0.82421875
2020-03-26,2020-03-27,1.03125
2020-03-27,2020-03-30,0.91015625
2020-03-30,2020-03-31,1.109375
2020-03-31,2020-04-01,0.9453125
2020-04-01,2020-04-02,1.140625
2020-04-02,2020-04-03,0.83984375
2020-04-03,2020-04-07,0.671875
2020-04-07,2020-04-08,0.64453125
2020-04-08,2020-04-09,0.1220703125
2020-04-09,2020-04-10,0.455078125
2020-04-10,2020-04-13,0.8203125
2020-04-13,2020-04-14,1.078125
2020-04-14,2020-04-15,1.171875
2020-04-15,2020-04-16,0.96484375
2020-04-16,2020-04-17,0.27734375
2020-04-17,2020-04-20,1.1015625
2020-04-20,2020-04-21,1.0625
2020-04-21,2020-04-22,0.0235595703125
2020-04-22,2020-04-23,0.10693359375
2020-04-23,2020-04-24,0.8671875
2020-04-24,2020-04-27,0.90625
2020-04-27,2020-04-28,0.7578125
2020-04-28,2020-04-29,1.015625
2020-04-29,2020-04-30,1.1875
2020-04-30,2020-05-06,0.66796875
2020-05-06,2020-05-07,0.6328125
2020-05-07,2020-05-08,0.59375
2020-05-08,2020-05-11,0.7265625
2020-05-11,2020-05-12,0.734375
2020-05-12,2020-05-13,0.80859375
2020-05-13,2020-05-14,0.71484375
2020-05-14,2020-05-15,0.74609375
2020-05-15,2020-05-18,0.65234375
2020-05-18,2020-05-19,0.8203125
2020-05-19,2020-05-20,0.84765625
2020-05-20,2020-05-21,0.671875
2020-05-21,2020-05-22,0.83203125
2020-05-22,2020-05-25,0.79296875
2020-05-25,2020-05-26,0.62109375
2020-05-26,2020-05-27,0.306640625
2020-05-27,2020-05-28,0.357421875
2020-05-28,2020-05-29,0.265625
2020-05-29,2020-06-01,0.306640625
2020-06-01,2020-06-02,-0.01092529296875
2020-06-02,2020-06-03,0.08203125
2020-06-03,2020-06-04,0.1806640625
2020-06-04,2020-06-05,0.267578125
2020-06-05,2020-06-08,0.140625
2020-06-08,2020-06-09,0.33203125
2020-06-09,2020-06-10,0.361328125
2020-06-10,2020-06-11,0.345703125
2020-06-11,2020-06-12,0.44921875
2020-06-12,2020-06-15,-0.1953125
2020-06-15,2020-06-16,0.11328125
2020-06-16,2020-06-17,0.07861328125
2020-06-17,2020-06-18,-0.1298828125
2020-06-18,2020-06-19,-0.478515625
2020-06-19,2020-06-22,-0.341796875
2020-06-22,2020-06-23,-0.169921875
2020-06-23,2020-06-24,-0.08056640625
2020-06-24,2020-06-29,-0.205078125
2020-06-29,2020-06-30,0.11572265625
