signal_date,available_date,MLP
2020-01-02,2020-01-03,0.08935546875
2020-01-03,2020-01-06,-0.515625
2020-01-06,2020-01-07,-0.3984375
2020-01-07,2020-01-08,-0.5546875
2020-01-08,2020-01-09,0.08203125
2020-01-09,2020-01-10,-0.1201171875
2020-01-10,2020-01-13,-0.63671875
2020-01-13,2020-01-14,-0.453125
2020-01-14,2020-01-15,-0.74609375
2020-01-15,2020-01-16,-0.53125
2020-01-16,2020-01-17,-0.06298828125
2020-01-17,2020-01-20,0.310546875
2020-01-20,2020-01-21,-0.068359375
2020-01-21,2020-01-22,-0.640625
2020-01-22,2020-01-23,0.228515625
2020-01-23,2020-02-03,0.5390625
2020-02-03,2020-02-04,-0.255859375
2020-02-04,2020-02-05,-0.12109375
2020-02-05,2020-02-06,0.12255859375
2020-02-06,2020-02-07,0.15625
2020-02-07,2020-02-10,-0.50390625
2020-02-10,2020-02-11,-0.16015625
2020-02-11,2020-02-12,-0.640625
2020-02-12,2020-02-13,-1.015625
2020-02-13,2020-02-14,-0.267578125
2020-02-14,2020-02-17,-0.271484375
2020-02-17,2020-02-18,-0.33984375
2020-02-18,2020-02-19,-0.7265625
2020-02-19,2020-02-20,-0.453125
2020-02-20,2020-02-21,-0.58203125
2020-02-21,2020-02-24,-0.55078125
2020-02-24,2020-02-25,-0.2158203125
2020-02-25,2020-02-26,0.5078125
2020-02-26,2020-02-27,0.39453125
2020-02-27,2020-02-28,0.9375
2020-02-28,2020-03-02,0.55859375
2020-03-02,2020-03-03,0.306640625
2020-03-03,2020-03-04,0.419921875
2020-03-04,2020-03-05,0.23828125
2020-03-05,2020-03-06,-0.08203125
2020-03-06,2020-03-09,-0.416015625
2020-03-09,2020-03-10,-0.7890625
2020-03-10,2020-03-11,-0.326171875
2020-03-11,2020-03-12,-0.427734375
2020-03-12,2020-03-13,-1.125
2020-03-13,2020-03-16,-0.9296875
2020-03-16,2020-03-17,-0.85546875
2020-03-17,2020-03-18,-0.259765625
2020-03-18,2020-03-19,-0.06640625
2020-03-19,2020-03-20,0.053466796875
2020-03-20,2020-03-23,0.2001953125
2020-03-23,2020-03-24,-0.0986328125
2020-03-24,2020-03-25,-0.1796875
2020-03-25,2020-03-26,-0.640625
2020-03-26,2020-03-27,-0.40234375
2020-03-27,2020-03-30,-0.75
2020-03-30,2020-03-31,-0.228515625
2020-03-31,2020-04-01,0.150390625
2020-04-01,2020-04-02,0.208984375
2020-04-02,2020-04-03,0.2236328125
2020-04-03,2020-04-07,0.201171875
2020-04-07,2020-04-08,-0.1025390625
2020-04-08,2020-04-09,-0.341796875
2020-04-09,2020-04-10,-0.291015625
2020-04-10,2020-04-13,-0.640625
2020-04-13,2020-04-14,-0.48046875
2020-04-14,2020-04-15,-0.140625
2020-04-15,2020-04-16,-0.30078125
2020-04-16,2020-04-17,-0.28515625
2020-04-17,2020-04-20,-0.2490234375
2020-04-20,2020-04-21,-0.53125
2020-04-21,2020-04-22,-0.474609375
2020-04-22,2020-04-23,-0.423828125
2020-04-23,2020-04-24,-0.197265625
2020-04-24,2020-04-27,-0.419921875
2020-04-27,2020-04-28,-0.41796875
2020-04-28,2020-04-29,-0.12109375
