signal_date,available_date,MLP
2020-01-02,2020-01-03,0.0419921875
2020-01-03,2020-01-06,0.58203125
2020-01-06,2020-01-07,0.07275390625
2020-01-07,2020-01-08,-0.2314453125
2020-01-08,2020-01-09,-0.0284423828125
2020-01-09,2020-01-10,0.287109375
2020-01-10,2020-01-13,0.005523681640625
2020-01-13,2020-01-14,0.875
2020-01-14,2020-01-15,0.68359375
2020-01-15,2020-01-16,1.0625
2020-01-16,2020-01-17,1.09375
2020-01-17,2020-01-20,0.0203857421875
2020-01-20,2020-01-21,0.671875
2020-01-21,2020-01-22,0.578125
2020-01-22,2020-01-23,0.625
2020-01-23,2020-02-03,0.71484375
2020-02-03,2020-02-04,-0.314453125
2020-02-04,2020-02-05,0.431640625
2020-02-05,2020-02-06,0.3671875
2020-02-06,2020-02-07,0.10107421875
2020-02-07,2020-02-10,0.60546875
2020-02-10,2020-02-11,0.68359375
2020-02-11,2020-02-12,0.447265625
2020-02-12,2020-02-13,0.443359375
2020-02-13,2020-02-14,0.8125
2020-02-14,2020-02-17,0.68359375
2020-02-17,2020-02-18,0.78125
2020-02-18,2020-02-19,0.78125
2020-02-19,2020-02-20,0.5234375
2020-02-20,2020-02-21,1.0546875
2020-02-21,2020-02-24,1.109375
2020-02-24,2020-02-25,0.74609375
2020-02-25,2020-02-26,0.76171875
2020-02-26,2020-02-27,0.1845703125
2020-02-27,2020-02-28,0.2578125
2020-02-28,2020-03-02,-0.6640625
2020-03-02,2020-03-03,-0.357421875
2020-03-03,2020-03-04,-0.8046875
2020-03-04,2020-03-05,0.0380859375
2020-03-05,2020-03-06,-0.369140625
2020-03-06,2020-03-09,-0.46484375
2020-03-09,2020-03-10,-0.43359375
2020-03-10,2020-03-11,-0.384765625
2020-03-11,2020-03-12,-0.042236328125
2020-03-12,2020-03-13,0.1396484375
2020-03-13,2020-03-16,0.26953125
2020-03-16,2020-03-17,-0.123046875
2020-03-17,2020-03-18,-0.55859375
2020-03-18,2020-03-19,-0.466796875
2020-03-19,2020-03-20,-0.248046875
2020-03-20,2020-03-23,0.1298828125
2020-03-23,2020-03-24,0.033203125
2020-03-24,2020-03-25,0.326171875
2020-03-25,2020-03-26,0.26171875
2020-03-26,2020-03-27,0.240234375
2020-03-27,2020-03-30,-0.11669921875
2020-03-30,2020-03-31,-0.2470703125
2020-03-31,2020-04-01,-0.2412109375
2020-04-01,2020-04-02,-0.2373046875
2020-04-02,2020-04-03,-0.0218505859375
2020-04-03,2020-04-07,0.01495361328125
2020-04-08,2020-04-09,0.392578125
2020-04-09,2020-04-10,0.10205078125
2020-04-10,2020-04-13,0.146484375
2020-04-13,2020-04-14,0.412109375
2020-04-14,2020-04-15,0.384765625
2020-04-15,2020-04-16,0.2890625
2020-04-16,2020-04-17,0.427734375
2020-04-17,2020-04-20,0.5390625
2020-04-20,2020-04-21,0.1865234375
2020-04-21,2020-04-22,0.40625
2020-04-22,2020-04-23,0.50390625
2020-04-23,2020-04-24,0.498046875
2020-04-24,2020-04-27,0.703125
2020-04-27,2020-04-28,0.71875
2020-04-28,2020-04-29,0.7109375
2020-04-29,2020-04-30,0.4453125
2020-04-30,2020-05-06,0.546875
2020-05-06,2020-05-07,0.2421875
2020-05-07,2020-05-08,0.546875
2020-05-08,2020-05-11,0.60546875
2020-05-11,2020-05-12,0.494140625
2020-05-12,2020-05-13,0.62890625
2020-05-13,2020-05-14,0.63671875
2020-05-14,2020-05-15,0.310546875
2020-05-15,2020-05-18,0.45703125
2020-05-18,2020-05-19,0.09375
2020-05-19,2020-05-20,0.27734375
2020-05-20,2020-05-21,0.1630859375
2020-05-21,2020-05-22,0.302734375
2020-05-22,2020-05-25,0.48828125
2020-05-25,2020-05-26,0.427734375
2020-05-26,2020-05-27,0.4375
2020-05-27,2020-05-28,0.62890625
2020-05-28,2020-05-29,0.279296875
2020-05-29,2020-06-01,0.3515625
2020-06-01,2020-06-02,0.228515625
2020-06-02,2020-06-03,0.380859375
2020-06-03,2020-06-04,0.349609375
2020-06-04,2020-06-05,0.431640625
2020-06-05,2020-06-08,0.232421875
2020-06-08,2020-06-09,0.36328125
2020-06-09,2020-06-10,0.6484375
2020-06-10,2020-06-11,0.5859375
2020-06-11,2020-06-12,0.57421875
2020-06-12,2020-06-15,0.6875
2020-06-15,2020-06-16,0.3671875
2020-06-16,2020-06-17,0.435546875
2020-06-17,2020-06-18,0.482421875
2020-06-18,2020-06-19,0.54296875
2020-06-19,2020-06-22,0.640625
2020-06-22,2020-06-23,0.474609375
2020-06-23,2020-06-24,0.33984375
2020-06-24,2020-06-29,0.2734375
2020-06-29,2020-06-30,0.404296875
2020-06-30,2020-07-01,0.2197265625
2020-07-01,2020-07-02,0.54296875
2020-07-02,2020-07-03,0.90625
2020-07-03,2020-07-06,1.03125
2020-07-06,2020-07-07,1.0859375
2020-07-07,2020-07-08,1.0078125
2020-07-08,2020-07-09,1.109375
2020-07-09,2020-07-10,1.390625
2020-07-10,2020-07-13,1.3203125
2020-07-13,2020-07-14,0.91796875
2020-07-14,2020-07-15,1.1328125
2020-07-15,2020-07-16,0.359375
2020-07-16,2020-07-17,-0.15625
2020-07-17,2020-07-20,0.2275390625
2020-07-20,2020-07-21,0.66015625
2020-07-21,2020-07-22,0.91015625
2020-07-22,2020-07-23,1.078125
2020-07-23,2020-07-24,0.74609375
2020-07-24,2020-07-27,0.265625
2020-07-27,2020-07-28,0.69140625
2020-07-28,2020-07-29,0.6328125
2020-07-29,2020-07-30,0.578125
2020-07-30,2020-07-31,0.5546875
2020-07-31,2020-08-03,0.44921875
2020-08-03,2020-08-04,0.451171875
2020-08-04,2020-08-05,0.318359375
2020-08-05,2020-08-06,0.455078125
2020-08-06,2020-08-07,0.40234375
2020-08-07,2020-08-10,0.462890625
2020-08-10,2020-08-11,-0.25390625
2020-08-11,2020-08-12,-0.57421875
2020-08-12,2020-08-13,-0.251953125
2020-08-13,2020-08-14,-0.322265625
