signal_date,available_date,MLP
2021-12-31,2022-01-04,0.024658203125
2022-01-04,2022-01-05,-0.21484375
2022-01-05,2022-01-06,-0.12353515625
2022-01-06,2022-01-07,-0.146484375
2022-01-07,2022-01-10,-0.30078125
2022-01-10,2022-01-11,-0.28515625
2022-01-11,2022-01-12,-0.1875
2022-01-12,2022-01-13,-0.4609375
2022-01-13,2022-01-14,-0.52734375
2022-01-14,2022-01-17,-0.5
2022-01-17,2022-01-18,-0.44140625
2022-01-18,2022-01-19,-0.39453125
2022-01-19,2022-01-20,-0.55078125
2022-01-20,2022-01-21,-0.546875
2022-01-21,2022-01-24,-0.53125
2022-01-24,2022-01-25,-0.41796875
2022-01-25,2022-01-26,-0.6484375
2022-01-26,2022-01-27,-0.56640625
2022-01-27,2022-01-28,-0.50390625
2022-01-28,2022-02-07,-0.4453125
2022-02-07,2022-02-08,-0.07666015625
2022-02-08,2022-02-09,-0.2421875
2022-02-09,2022-02-10,-0.2197265625
2022-02-10,2022-02-11,-0.08251953125
2022-02-11,2022-02-14,-0.3046875
2022-02-14,2022-02-15,-0.2431640625
2022-02-15,2022-02-16,-0.23046875
2022-02-16,2022-02-17,-0.0693359375
2022-02-17,2022-02-18,-0.123046875
2022-02-18,2022-02-21,-0.10400390625
2022-02-21,2022-02-22,-0.1416015625
2022-02-22,2022-02-23,0.028076171875
2022-02-23,2022-02-24,-0.251953125
2022-02-24,2022-02-25,0.0264892578125
2022-02-25,2022-02-28,-0.072265625
2022-02-28,2022-03-01,0.0654296875
2022-03-01,2022-03-02,0.1201171875
2022-03-02,2022-03-03,-0.1484375
2022-03-03,2022-03-04,0.038818359375
2022-03-04,2022-03-07,0.023193359375
2022-03-07,2022-03-08,-0.049072265625
2022-03-08,2022-03-09,-0.240234375
2022-03-09,2022-03-10,-0.076171875
2022-03-10,2022-03-11,-0.185546875
2022-03-11,2022-03-14,-0.390625
2022-03-14,2022-03-15,-0.0693359375
2022-03-15,2022-03-16,-0.1015625
2022-03-16,2022-03-17,0.2255859375
2022-03-17,2022-03-18,0.125
2022-03-18,2022-03-21,0.0216064453125
2022-03-21,2022-03-22,-0.341796875
2022-03-22,2022-03-23,-0.3671875
2022-03-23,2022-03-24,-0.26171875
2022-03-24,2022-03-25,-0.1689453125
2022-03-25,2022-03-28,-0.400390625
2022-03-28,2022-03-29,-0.578125
2022-03-29,2022-03-30,-0.51953125
2022-03-30,2022-03-31,-0.396484375
2022-03-31,2022-04-01,-0.2578125
2022-04-01,2022-04-06,-0.05908203125
2022-04-06,2022-04-07,-0.2021484375
2022-04-07,2022-04-08,-0.0625
2022-04-08,2022-04-11,-0.1826171875
2022-04-11,2022-04-12,-0.0927734375
2022-04-12,2022-04-13,0.08349609375
2022-04-13,2022-04-14,0.1748046875
2022-04-14,2022-04-15,0.203125
2022-04-15,2022-04-18,0.2197265625
2022-04-18,2022-04-19,0.224609375
2022-04-19,2022-04-20,0.1953125
2022-04-20,2022-04-21,0.177734375
2022-04-21,2022-04-22,0.26171875
2022-04-22,2022-04-25,0.2255859375
2022-04-25,2022-04-26,-0.024169921875
2022-04-26,2022-04-27,-0.04296875
2022-04-27,2022-04-28,0.12158203125
2022-04-28,2022-04-29,0.283203125
2022-04-29,2022-05-05,0.421875
2022-05-05,2022-05-06,0.6015625
2022-05-06,2022-05-09,0.427734375
2022-05-09,2022-05-10,0.1435546875
2022-05-10,2022-05-11,0.2216796875
2022-05-11,2022-05-12,-0.01300048828125
2022-05-12,2022-05-13,-0.1337890625
2022-05-13,2022-05-16,-0.032958984375
2022-05-16,2022-05-17,-0.12890625
2022-05-17,2022-05-18,-0.1630859375
2022-05-18,2022-05-19,-0.0052490234375
2022-05-19,2022-05-20,-0.1171875
2022-05-20,2022-05-23,-0.1845703125
2022-05-23,2022-05-24,-0.0810546875
2022-05-24,2022-05-25,-0.30078125
2022-05-25,2022-05-26,-0.21875
2022-05-26,2022-05-27,-0.50390625
2022-05-27,2022-05-30,-0.234375
2022-05-30,2022-05-31,-0.427734375
2022-05-31,2022-06-01,-0.5546875
2022-06-01,2022-06-02,-0.060546875
2022-06-02,2022-06-06,-0.404296875
2022-06-06,2022-06-07,-0.5234375
2022-06-07,2022-06-08,-0.07373046875
2022-06-08,2022-06-09,-0.0147705078125
2022-06-09,2022-06-10,0.0712890625
2022-06-10,2022-06-13,0.0140380859375
2022-06-13,2022-06-14,0.059326171875
2022-06-14,2022-06-15,-0.0732421875
2022-06-15,2022-06-16,0.05419921875
2022-06-16,2022-06-17,-0.0277099609375
2022-06-17,2022-06-20,0.12890625
2022-06-20,2022-06-21,0.185546875
2022-06-21,2022-06-22,0.18359375
2022-06-22,2022-06-23,0.1103515625
2022-06-23,2022-06-24,0.09521484375
2022-06-24,2022-06-27,0.16796875
2022-06-27,2022-06-28,0.0654296875
2022-06-28,2022-06-29,0.01422119140625
2022-06-29,2022-06-30,-0.11767578125
2022-06-30,2022-07-01,-0.125
2022-07-01,2022-07-04,0.1513671875
2022-07-04,2022-07-05,0.10888671875
2022-07-05,2022-07-06,0.109375
2022-07-06,2022-07-07,0.0888671875
2022-07-07,2022-07-08,0.07861328125
2022-07-08,2022-07-11,0.234375
2022-07-11,2022-07-12,0.2578125
2022-07-12,2022-07-13,0.2138671875
2022-07-13,2022-07-14,0.265625
2022-07-14,2022-07-15,0.2080078125
2022-07-15,2022-07-18,0.251953125
2022-07-18,2022-07-19,0.365234375
2022-07-19,2022-07-20,0.2255859375
2022-07-20,2022-07-21,0.306640625
2022-07-21,2022-07-22,0.28515625
2022-07-22,2022-07-25,0.11328125
2022-07-25,2022-07-26,0.1875
2022-07-26,2022-07-27,0.15625
2022-07-27,2022-07-28,0.1923828125
2022-07-28,2022-07-29,0.1513671875
2022-07-29,2022-08-01,0.185546875
2022-08-01,2022-08-02,-0.1533203125
2022-08-02,2022-08-03,-0.29296875
2022-08-03,2022-08-04,-0.32421875
2022-08-04,2022-08-05,-0.0018157958984375
2022-08-05,2022-08-08,-0.083984375
2022-08-08,2022-08-09,-0.0189208984375
2022-08-09,2022-08-10,-0.34375
2022-08-10,2022-08-11,-0.2060546875
2022-08-11,2022-08-12,-0.380859375
2022-08-12,2022-08-15,-0.29296875
2022-08-15,2022-08-16,-0.1943359375
2022-08-16,2022-08-17,-0.197265625
2022-08-17,2022-08-18,-0.474609375
2022-08-18,2022-08-19,-0.423828125
2022-08-19,2022-08-22,-0.2734375
2022-08-22,2022-08-23,-0.099609375
2022-08-23,2022-08-24,-0.2265625
2022-08-24,2022-08-25,-0.119140625
2022-08-25,2022-08-26,-0.146484375
