signal_date,available_date,MLP
2024-12-31,2025-01-02,-0.2255859375
2025-01-02,2025-01-03,-0.470703125
2025-01-03,2025-01-06,-0.412109375
2025-01-06,2025-01-07,-0.2451171875
2025-01-07,2025-01-08,-0.1748046875
2025-01-08,2025-01-09,-0.0849609375
2025-01-09,2025-01-10,-0.212890625
2025-01-10,2025-01-13,-0.29296875
2025-01-13,2025-01-14,-0.053955078125
2025-01-14,2025-01-15,0.130859375
2025-01-15,2025-01-16,0.064453125
2025-01-16,2025-01-17,-0.023681640625
2025-01-17,2025-01-20,0.048828125
2025-01-20,2025-01-21,0.0045166015625
2025-01-21,2025-01-22,-0.11669921875
2025-01-22,2025-01-23,-0.0810546875
2025-01-23,2025-01-24,-0.11572265625
2025-01-24,2025-01-27,-0.11279296875
2025-01-27,2025-02-05,-0.142578125
2025-02-05,2025-02-06,-0.0869140625
2025-02-06,2025-02-07,-0.037353515625
2025-02-07,2025-02-10,0.05224609375
2025-02-10,2025-02-11,-0.00701904296875
2025-02-11,2025-02-12,0.044189453125
2025-02-12,2025-02-13,0.054931640625
2025-02-13,2025-02-14,0.173828125
2025-02-14,2025-02-17,0.11328125
2025-02-17,2025-02-18,-0.294921875
2025-02-18,2025-02-19,-0.265625
2025-02-19,2025-02-20,0.0150146484375
2025-02-20,2025-02-21,0.53515625
2025-02-21,2025-02-24,0.50390625
2025-02-24,2025-02-25,0.357421875
2025-02-25,2025-02-26,0.314453125
2025-02-26,2025-02-27,0.2734375
2025-02-27,2025-02-28,0.302734375
2025-02-28,2025-03-03,0.10791015625
2025-03-03,2025-03-04,0.423828125
2025-03-04,2025-03-05,0.63671875
2025-03-05,2025-03-06,0.41796875
2025-03-06,2025-03-07,0.5390625
2025-03-07,2025-03-10,0.69140625
2025-03-10,2025-03-11,0.3359375
2025-03-11,2025-03-12,0.14453125
2025-03-12,2025-03-13,0.0732421875
2025-03-13,2025-03-14,0.1875
2025-03-14,2025-03-17,0.6171875
2025-03-17,2025-03-18,0.44140625
2025-03-18,2025-03-19,0.2431640625
2025-03-19,2025-03-20,0.40625
2025-03-20,2025-03-21,0.5546875
2025-03-21,2025-03-24,0.392578125
2025-03-24,2025-03-25,0.41015625
2025-03-25,2025-03-26,0.47265625
2025-03-26,2025-03-27,0.640625
2025-03-27,2025-03-28,0.58203125
2025-03-28,2025-03-31,0.37890625
2025-03-31,2025-04-01,0.609375
2025-04-01,2025-04-02,-0.080078125
2025-04-02,2025-04-03,-0.0118408203125
2025-04-03,2025-04-07,0.000568389892578125
2025-04-07,2025-04-08,-1.078125
2025-04-08,2025-04-09,-1.109375
2025-04-09,2025-04-10,-0.87109375
2025-04-10,2025-04-11,-0.8828125
2025-04-11,2025-04-14,-0.416015625
2025-04-14,2025-04-15,-1.0
2025-04-15,2025-04-16,-0.87109375
2025-04-16,2025-04-17,-0.83203125
2025-04-17,2025-04-18,-0.8125
2025-04-18,2025-04-21,-0.5
2025-04-21,2025-04-22,-0.55859375
2025-04-22,2025-04-23,-0.486328125
2025-04-23,2025-04-24,-0.31640625
2025-04-24,2025-04-25,-0.51171875
2025-04-25,2025-04-28,-0.51171875
2025-04-28,2025-04-29,-0.484375
2025-04-29,2025-04-30,-0.2314453125
2025-04-30,2025-05-06,0.09814453125
2025-05-06,2025-05-07,-0.07666015625
2025-05-07,2025-05-08,0.003753662109375
2025-05-08,2025-05-09,-0.0537109375
2025-05-09,2025-05-12,-0.19140625
2025-05-12,2025-05-13,-0.376953125
2025-05-13,2025-05-14,-0.1318359375
2025-05-14,2025-05-15,-0.18359375
2025-05-15,2025-05-16,-0.11279296875
2025-05-16,2025-05-19,-0.09912109375
2025-05-19,2025-05-20,-0.07763671875
2025-05-20,2025-05-21,-0.2373046875
2025-05-21,2025-05-22,-0.095703125
2025-05-22,2025-05-23,-0.228515625
2025-05-23,2025-05-26,-0.412109375
2025-05-26,2025-05-27,-0.05810546875
2025-05-27,2025-05-28,-0.0169677734375
2025-05-28,2025-05-29,-0.375
2025-05-29,2025-05-30,-0.1025390625
2025-05-30,2025-06-03,-0.240234375
2025-06-03,2025-06-04,-0.439453125
2025-06-04,2025-06-05,-0.265625
2025-06-05,2025-06-06,0.11865234375
2025-06-10,2025-06-11,-0.78515625
2025-06-11,2025-06-12,-0.93359375
2025-06-12,2025-06-13,-0.5625
2025-06-13,2025-06-16,-0.373046875
2025-06-16,2025-06-17,-0.302734375
2025-06-17,2025-06-18,-0.37109375
2025-06-18,2025-06-19,-0.26171875
2025-06-19,2025-06-20,-0.1572265625
2025-06-20,2025-06-23,-0.1767578125
2025-06-23,2025-06-24,-0.421875
2025-06-24,2025-06-25,-0.6328125
2025-06-25,2025-06-26,-0.271484375
2025-06-26,2025-06-27,-0.23828125
2025-06-27,2025-06-30,-0.044677734375
2025-06-30,2025-07-01,-0.0289306640625
