signal_date,available_date,LightGBM
2020-12-31,2021-01-04,0.06835421646265825
2021-01-04,2021-01-05,0.03373978949035258
2021-01-05,2021-01-06,0.005042548446064001
2021-01-06,2021-01-07,-0.028010673946961096
2021-01-07,2021-01-08,-0.03232290716091661
2021-01-08,2021-01-11,-0.007521754348623391
2021-01-11,2021-01-12,-0.0029520603561456575
2021-01-12,2021-01-13,-0.0029520603561456575
2021-01-13,2021-01-14,-0.012750421536590858
2021-01-14,2021-01-15,-0.01972067484882434
2021-01-15,2021-01-18,-0.008133017403728092
2021-01-18,2021-01-19,-0.008133017403728092
2021-01-19,2021-01-20,-0.008133017403728092
2021-01-20,2021-01-21,-0.003242801243372197
2021-01-21,2021-01-22,-0.010829404565792237
2021-01-22,2021-01-25,0.005745087970287418
2021-01-25,2021-01-26,0.005745087970287418
2021-01-26,2021-01-27,0.013732229245806327
2021-01-27,2021-01-28,0.011056469174272361
2021-01-28,2021-01-29,0.0179580546413169
2021-01-29,2021-02-01,0.0179580546413169
2021-02-01,2021-02-02,0.024124267373154384
2021-02-02,2021-02-03,-0.01655689433346398
2021-02-03,2021-02-04,-0.035989055707913525
2021-02-04,2021-02-05,-0.03492554094898725
2021-02-05,2021-02-08,0.005199644165774908
2021-02-08,2021-02-09,0.05085609948131502
2021-02-09,2021-02-10,0.05630015239906306
2021-02-10,2021-02-18,0.05085609948131502
2021-02-18,2021-02-19,-0.04644163029622876
2021-02-19,2021-02-22,0.008039460610567633
2021-02-22,2021-02-23,-0.005336784383797368
2021-02-23,2021-02-24,-0.060458029047513934
2021-02-24,2021-02-25,-0.012688968745427506
2021-02-25,2021-02-26,-0.006908824063145033
2021-02-26,2021-03-01,-0.012688968745427506
2021-03-01,2021-03-02,0.006568687383213778
2021-03-02,2021-03-03,0.007871991331324121
2021-03-03,2021-03-04,0.007871991331324121
2021-03-04,2021-03-05,-0.026814727736633313
2021-03-05,2021-03-08,-0.037752484886336195
2021-03-08,2021-03-09,-0.037752484886336195
2021-03-09,2021-03-10,-0.039711562758959804
2021-03-10,2021-03-11,-0.013748880604441505
2021-03-11,2021-03-12,-0.00022438910548890079
2021-03-12,2021-03-15,0.00525514386206204
2021-03-15,2021-03-16,-0.008185748422051293
2021-03-16,2021-03-17,0.00525514386206204
2021-03-17,2021-03-18,0.010925210736487211
2021-03-18,2021-03-19,0.034601165612586395
2021-03-19,2021-03-22,0.021410131274213925
2021-03-22,2021-03-23,0.053110554443071764
2021-03-23,2021-03-24,0.053110554443071764
2021-03-24,2021-03-25,0.053110554443071764
2021-03-25,2021-03-26,0.04712141586194755
2021-03-26,2021-03-29,0.053110554443071764
2021-03-29,2021-03-30,0.008107056401289685
2021-03-30,2021-03-31,-0.004254405367030726
2021-03-31,2021-04-01,0.017922346262730232
2021-04-01,2021-04-02,0.022789915156734997
2021-04-02,2021-04-06,0.022789915156734997
2021-04-06,2021-04-07,0.022789915156734997
2021-04-07,2021-04-08,0.022789915156734997
2021-04-08,2021-04-09,0.022789915156734997
2021-04-09,2021-04-12,0.022789915156734997
2021-04-12,2021-04-13,-0.0011517692944410373
2021-04-13,2021-04-14,0.022789915156734997
2021-04-14,2021-04-15,0.022789915156734997
2021-04-15,2021-04-16,0.022789915156734997
2021-04-16,2021-04-19,0.022789915156734997
2021-04-19,2021-04-20,0.01720925107675584
2021-04-20,2021-04-21,0.01720925107675584
2021-04-21,2021-04-22,0.01720925107675584
2021-04-22,2021-04-23,0.01720925107675584
2021-04-23,2021-04-26,0.01720925107675584
2021-04-26,2021-04-27,0.015570012716229296
2021-04-27,2021-04-28,0.01720925107675584
2021-04-28,2021-04-29,0.022789915156734997
2021-04-29,2021-04-30,0.022789915156734997
2021-04-30,2021-05-06,0.022789915156734997
2021-05-06,2021-05-07,0.05942941450164569
2021-05-07,2021-05-10,0.04868146135244649
2021-05-10,2021-05-11,-0.036485482858855306
2021-05-11,2021-05-12,0.03534092148310174
2021-05-12,2021-05-13,-0.02709995291567959
2021-05-13,2021-05-14,0.030075432336020114
2021-05-14,2021-05-17,0.049241889749030876
2021-05-17,2021-05-18,0.05472091781962305
2021-05-18,2021-05-19,-0.05624371480679408
2021-05-19,2021-05-20,0.05205780998023331
2021-05-20,2021-05-21,0.06343029103167117
2021-05-21,2021-05-24,0.06343029103167117
2021-05-24,2021-05-25,0.06890931910226333
2021-05-25,2021-05-26,0.06890931910226333
2021-05-26,2021-05-27,0.06890931910226333
2021-05-27,2021-05-28,0.06890931910226333
2021-05-28,2021-05-31,0.06890931910226333
2021-05-31,2021-06-01,0.06890931910226333
2021-06-01,2021-06-02,0.051345614070204215
2021-06-02,2021-06-03,0.024382465713793433
2021-06-03,2021-06-04,0.024382465713793433
2021-06-04,2021-06-07,0.03165668033128448
2021-06-07,2021-06-08,0.055442590255924955
2021-06-08,2021-06-09,0.05861982868769526
2021-06-09,2021-06-10,0.022564447890943428
2021-06-10,2021-06-11,0.04406241559383464
2021-06-11,2021-06-15,-0.01954439312564796
2021-06-15,2021-06-16,0.005859413209694703
2021-06-16,2021-06-17,-0.04096496553990371
2021-06-17,2021-06-18,0.009468057864585759
2021-06-18,2021-06-21,0.02553711141546427
2021-06-21,2021-06-22,0.01401330121965966
2021-06-22,2021-06-23,0.01401330121965966
2021-06-23,2021-06-24,0.009273208492588694
2021-06-24,2021-06-25,0.009273208492588694
2021-06-25,2021-06-28,0.02066069740450872
2021-06-28,2021-06-29,0.025400790131579688
2021-06-29,2021-06-30,0.025400790131579688
2021-06-30,2021-07-01,0.008627175382502046
2021-07-01,2021-07-02,0.010319095193763008
2021-07-02,2021-07-05,-0.02260811789132549
2021-07-05,2021-07-06,-0.008696871163199437
2021-07-06,2021-07-07,-0.008696871163199437
2021-07-07,2021-07-08,-0.05852887713228751
2021-07-08,2021-07-09,-0.05117414476582287
2021-07-09,2021-07-12,-0.03645529803779862
2021-07-12,2021-07-13,-0.0135767297873318
2021-07-13,2021-07-14,-0.0135767297873318
2021-07-14,2021-07-15,-0.0135767297873318
2021-07-15,2021-07-16,-0.0135767297873318
2021-07-16,2021-07-19,0.00028443621157610635
2021-07-19,2021-07-20,0.00504209259539907
2021-07-20,2021-07-21,0.00504209259539907
2021-07-21,2021-07-22,-0.00786695903634034
2021-07-22,2021-07-23,-0.00786695903634034
2021-07-23,2021-07-26,-0.0135767297873318
2021-07-26,2021-07-27,-0.0135767297873318
2021-07-27,2021-07-28,-0.03989976325957797
2021-07-28,2021-07-29,-0.03989976325957797
2021-07-29,2021-07-30,0.005439236569630645
2021-07-30,2021-08-02,0.005439236569630645
2021-08-02,2021-08-03,0.006393366716656805
2021-08-03,2021-08-04,0.006393366716656805
2021-08-04,2021-08-05,0.007018798175616484
2021-08-05,2021-08-06,0.007018798175616484
2021-08-06,2021-08-09,0.007018798175616484
2021-08-09,2021-08-10,0.01386817049693527
2021-08-10,2021-08-11,0.01386817049693527
2021-08-11,2021-08-12,0.01386817049693527
2021-08-12,2021-08-13,0.01386817049693527
2021-08-13,2021-08-16,0.01386817049693527
2021-08-16,2021-08-17,0.01386817049693527
2021-08-17,2021-08-18,0.01386817049693527
2021-08-18,2021-08-19,0.00015553053948045778
2021-08-19,2021-08-20,0.01386817049693527
2021-08-20,2021-08-23,0.01386817049693527
2021-08-23,2021-08-24,0.01386817049693527
2021-08-24,2021-08-25,0.00015553053948045778
2021-08-25,2021-08-26,0.01386817049693527
2021-08-26,2021-08-27,0.01386817049693527
2021-08-27,2021-08-30,0.01386817049693527
2021-08-30,2021-08-31,0.01386817049693527
2021-08-31,2021-09-01,0.01386817049693527
2021-09-01,2021-09-02,0.0306104649540962
2021-09-02,2021-09-03,0.0306104649540962
2021-09-03,2021-09-06,-0.042866421178052436
2021-09-06,2021-09-07,-0.03767137626863112
2021-09-07,2021-09-08,-0.07029239877007996
2021-09-08,2021-09-09,-0.024262175396446924
2021-09-09,2021-09-10,-0.046391824005815596
2021-09-10,2021-09-13,-0.009982187681379866
2021-09-13,2021-09-14,0.010660892218270228
2021-09-14,2021-09-15,-0.06466556415607705
2021-09-15,2021-09-16,-0.07029239877007996
2021-09-16,2021-09-17,0.01257306733214596
2021-09-17,2021-09-22,0.01257306733214596
2021-09-22,2021-09-23,0.007466886029759856
2021-09-23,2021-09-24,0.023660714817459072
2021-09-24,2021-09-27,-0.07029239877007996
2021-09-27,2021-09-28,-0.07029239877007996
2021-09-28,2021-09-29,-0.07827421005560165
2021-09-29,2021-09-30,-0.012446500198223732
2021-09-30,2021-10-08,-0.011025397160320447
2021-10-08,2021-10-11,-0.005315324319399813
2021-10-11,2021-10-12,-0.005315324319399813
2021-10-12,2021-10-13,-0.005315324319399813
2021-10-13,2021-10-14,0.0016008257732636382
2021-10-14,2021-10-15,0.0016008257732636382
2021-10-15,2021-10-18,0.0016008257732636382
2021-10-18,2021-10-19,0.00017065526794766799
2021-10-19,2021-10-20,0.00017065526794766799
2021-10-20,2021-10-21,0.00017065526794766799
2021-10-21,2021-10-22,0.0016008257732636382
2021-10-22,2021-10-25,0.0016008257732636382
2021-10-25,2021-10-26,0.0016008257732636382
2021-10-26,2021-10-27,0.0016008257732636382
2021-10-27,2021-10-28,0.0016008257732636382
2021-10-28,2021-10-29,0.0016008257732636382
2021-10-29,2021-11-01,0.0016008257732636382
2021-11-01,2021-11-02,0.007776577317364881
2021-11-02,2021-11-03,0.007776577317364881
2021-11-03,2021-11-04,0.007776577317364881
2021-11-04,2021-11-05,0.007776577317364881
2021-11-05,2021-11-08,0.007776577317364881
2021-11-08,2021-11-09,0.007776577317364881
2021-11-09,2021-11-10,0.007776577317364881
2021-11-10,2021-11-11,0.007776577317364881
2021-11-11,2021-11-12,0.007776577317364881
2021-11-12,2021-11-15,0.007776577317364881
2021-11-15,2021-11-16,0.007776577317364881
2021-11-16,2021-11-17,0.007776577317364881
2021-11-17,2021-11-18,0.007776577317364881
2021-11-18,2021-11-19,0.007776577317364881
2021-11-19,2021-11-22,0.007776577317364881
2021-11-22,2021-11-23,0.007776577317364881
2021-11-23,2021-11-24,0.007776577317364881
2021-11-24,2021-11-25,0.013961118355883824
2021-11-25,2021-11-26,0.013961118355883824
2021-11-26,2021-11-29,0.013961118355883824
2021-11-29,2021-11-30,0.013961118355883824
2021-11-30,2021-12-01,0.013961118355883824
2021-12-01,2021-12-02,0.013996231459068474
2021-12-02,2021-12-03,0.007761140390337996
2021-12-03,2021-12-06,0.007761140390337996
2021-12-06,2021-12-07,0.0057410454775335025
2021-12-07,2021-12-08,0.007761140390337996
2021-12-08,2021-12-09,0.007761140390337996
2021-12-09,2021-12-10,0.007761140390337996
2021-12-10,2021-12-13,0.007761140390337996
2021-12-13,2021-12-14,0.007761140390337996
2021-12-14,2021-12-15,0.007761140390337996
2021-12-15,2021-12-16,0.007761140390337996
2021-12-16,2021-12-17,0.007761140390337996
2021-12-17,2021-12-20,-0.005285152781078906
2021-12-20,2021-12-21,0.0057410454775335025
