signal_date,available_date,LightGBM
2024-12-31,2025-01-02,0.0036298737571942557
2025-01-02,2025-01-03,0.0020022663053003323
2025-01-03,2025-01-06,0.0020022663053003323
2025-01-06,2025-01-07,0.016815917218394334
2025-01-07,2025-01-08,0.02031247540695893
2025-01-08,2025-01-09,0.02031247540695893
2025-01-09,2025-01-10,0.02031247540695893
2025-01-10,2025-01-13,0.02031247540695893
2025-01-13,2025-01-14,0.02031247540695893
2025-01-14,2025-01-15,0.02031247540695893
2025-01-15,2025-01-16,0.02031247540695893
2025-01-16,2025-01-17,0.02031247540695893
2025-01-17,2025-01-20,0.02031247540695893
2025-01-20,2025-01-21,0.02031247540695893
2025-01-21,2025-01-22,0.02031247540695893
2025-01-22,2025-01-23,0.02031247540695893
2025-01-23,2025-01-24,0.03092828186697606
2025-01-24,2025-01-27,0.03092828186697606
2025-01-27,2025-02-05,0.03092828186697606
2025-02-05,2025-02-06,0.020141017525606937
2025-02-06,2025-02-07,0.02604054765290093
2025-02-07,2025-02-10,0.02604054765290093
2025-02-10,2025-02-11,0.02604054765290093
2025-02-11,2025-02-12,0.02604054765290093
2025-02-12,2025-02-13,0.02604054765290093
2025-02-13,2025-02-14,0.023905497554672302
2025-02-14,2025-02-17,0.02604054765290093
2025-02-17,2025-02-18,0.02604054765290093
2025-02-18,2025-02-19,0.02604054765290093
2025-02-19,2025-02-20,0.02604054765290093
2025-02-20,2025-02-21,0.004585101357779512
2025-02-21,2025-02-24,0.04284251167351531
2025-02-24,2025-02-25,0.04586203577562472
2025-02-25,2025-02-26,0.04586203577562472
2025-02-26,2025-02-27,0.04586203577562472
2025-02-27,2025-02-28,0.004585101357779512
2025-02-28,2025-03-03,0.04586203577562472
2025-03-03,2025-03-04,-0.004179199644726044
2025-03-04,2025-03-05,0.050440347143012265
2025-03-05,2025-03-06,0.050440347143012265
2025-03-06,2025-03-07,0.050440347143012265
2025-03-07,2025-03-10,-0.017453889019730124
2025-03-10,2025-03-11,-0.027635923026216595
2025-03-11,2025-03-12,-0.03784609920495267
2025-03-12,2025-03-13,-0.004179199644726044
2025-03-13,2025-03-14,-0.004179199644726044
2025-03-14,2025-03-17,0.025905355348953267
2025-03-17,2025-03-18,0.025905355348953267
2025-03-18,2025-03-19,0.019118066897843716
2025-03-19,2025-03-20,0.019118066897843716
2025-03-20,2025-03-21,0.025905355348953267
2025-03-21,2025-03-24,0.019118066897843716
2025-03-24,2025-03-25,0.014031738972162245
2025-03-25,2025-03-26,0.014031738972162245
2025-03-26,2025-03-27,-0.007625796413219898
2025-03-27,2025-03-28,0.02117442236615467
2025-03-28,2025-03-31,0.027961710817264226
2025-03-31,2025-04-01,0.027961710817264226
2025-04-01,2025-04-02,0.02059529074023059
2025-04-02,2025-04-03,0.014474982276061909
2025-04-03,2025-04-07,0.02059529074023059
2025-04-07,2025-04-08,0.02059529074023059
2025-04-08,2025-04-09,0.02059529074023059
2025-04-09,2025-04-10,0.02059529074023059
2025-04-10,2025-04-11,0.0021186117350790934
2025-04-11,2025-04-14,0.02059529074023059
2025-04-14,2025-04-15,0.02059529074023059
2025-04-15,2025-04-16,-0.02527004644998389
2025-04-16,2025-04-17,0.0021186117350790934
2025-04-17,2025-04-18,0.02059529074023059
2025-04-18,2025-04-21,0.02059529074023059
2025-04-21,2025-04-22,0.02921329666353259
2025-04-22,2025-04-23,0.03793795963707121
2025-04-23,2025-04-24,0.032217669523883566
2025-04-24,2025-04-25,0.03793795963707121
2025-04-25,2025-04-28,0.020227648789425817
2025-04-28,2025-04-29,0.025423687486730552
2025-04-29,2025-04-30,0.03114397759991819
2025-04-30,2025-05-06,0.03114397759991819
2025-05-06,2025-05-07,0.044245843845670735
2025-05-07,2025-05-08,0.03928614593357647
2025-05-08,2025-05-09,0.03928614593357647
2025-05-09,2025-05-12,-0.03620826520692964
2025-05-12,2025-05-13,0.001554138860823263
2025-05-13,2025-05-14,0.001554138860823263
2025-05-14,2025-05-15,-0.0015850890302059808
2025-05-15,2025-05-16,-0.04843175360269717
2025-05-16,2025-05-19,-0.0015850890302059808
2025-05-19,2025-05-20,-0.01720985132216147
2025-05-20,2025-05-21,-0.04843175360269717
2025-05-21,2025-05-22,0.000383262034523188
2025-05-22,2025-05-23,0.018131455569497173
2025-05-23,2025-05-26,0.00033241487348055054
2025-05-26,2025-05-27,0.00033241487348055054
2025-05-27,2025-05-28,0.000383262034523188
2025-05-28,2025-05-29,0.000383262034523188
2025-05-29,2025-05-30,0.018131455569497173
2025-05-30,2025-06-03,0.018131455569497173
2025-06-03,2025-06-04,-0.09153933824660487
2025-06-04,2025-06-05,-0.09153933824660487
2025-06-05,2025-06-06,-0.07310261351898174
2025-06-06,2025-06-09,-0.07791367138107896
2025-06-09,2025-06-10,-0.06828295197244008
2025-06-10,2025-06-11,-0.06621209992178588
2025-06-11,2025-06-12,-0.06621209992178588
2025-06-12,2025-06-13,-0.06621209992178588
2025-06-13,2025-06-16,-0.061717285443002895
2025-06-16,2025-06-17,-0.061717285443002895
2025-06-17,2025-06-18,-0.04713002921659912
2025-06-18,2025-06-19,-0.04713002921659912
2025-06-19,2025-06-20,-0.04713002921659912
2025-06-20,2025-06-23,-0.03321985412690377
2025-06-23,2025-06-24,-0.05284695817290709
2025-06-24,2025-06-25,-0.03298185484671777
2025-06-25,2025-06-26,-0.03298185484671777
2025-06-26,2025-06-27,-0.017577919411360075
2025-06-27,2025-06-30,0.0035234012122858957
2025-06-30,2025-07-01,-0.013327109823640179
2025-07-01,2025-07-02,0.002389145674686765
2025-07-02,2025-07-03,0.017416856702887305
2025-07-03,2025-07-04,0.017416856702887305
2025-07-04,2025-07-07,0.020194709443507375
2025-07-07,2025-07-08,0.020194709443507375
2025-07-08,2025-07-09,0.020194709443507375
2025-07-09,2025-07-10,0.020194709443507375
2025-07-10,2025-07-11,0.020194709443507375
2025-07-11,2025-07-14,0.020194709443507375
2025-07-14,2025-07-15,0.021794835877240938
2025-07-15,2025-07-16,0.020194709443507375
2025-07-16,2025-07-17,0.020194709443507375
2025-07-17,2025-07-18,0.020194709443507375
2025-07-18,2025-07-21,0.0003324082727750345
2025-07-21,2025-07-22,0.020194709443507375
2025-07-22,2025-07-23,-0.003138465289821801
2025-07-23,2025-07-24,-0.015685275147621927
2025-07-24,2025-07-25,-0.01832615440204373
2025-07-25,2025-07-28,-0.010337173308904418
2025-07-28,2025-07-29,-0.010337173308904418
2025-07-29,2025-07-30,0.01883170618770186
2025-07-30,2025-07-31,0.02230257975029869
2025-07-31,2025-08-01,0.01883170618770186
2025-08-01,2025-08-04,0.007550140592336219
2025-08-04,2025-08-05,0.007550140592336219
2025-08-05,2025-08-06,0.001562640725080247
2025-08-06,2025-08-07,0.0021390247728706726
2025-08-07,2025-08-08,0.007550140592336219
2025-08-08,2025-08-11,0.010249891465974584
2025-08-11,2025-08-12,0.010249891465974584
2025-08-12,2025-08-13,0.010249891465974584
2025-08-13,2025-08-14,0.010249891465974584
2025-08-14,2025-08-15,0.010249891465974584
2025-08-15,2025-08-18,0.010249891465974584
2025-08-18,2025-08-19,0.010249891465974584
2025-08-19,2025-08-20,0.010249891465974584
2025-08-20,2025-08-21,0.010249891465974584
2025-08-21,2025-08-22,-0.001291953239483824
2025-08-22,2025-08-25,0.007550140592336219
2025-08-25,2025-08-26,0.010249891465974584
2025-08-26,2025-08-27,-0.011860214856240591
2025-08-27,2025-08-28,0.0021390247728706726
2025-08-28,2025-08-29,0.0021390247728706726
2025-08-29,2025-09-01,0.05596180581410277
2025-09-01,2025-09-02,0.025618457408601962
2025-09-02,2025-09-03,0.025618457408601962
2025-09-03,2025-09-04,0.025618457408601962
2025-09-04,2025-09-05,0.025618457408601962
2025-09-05,2025-09-08,0.025618457408601962
2025-09-08,2025-09-09,-0.01494515964001617
2025-09-09,2025-09-10,0.005903994923171822
2025-09-10,2025-09-11,0.005903994923171822
2025-09-11,2025-09-12,0.025618457408601962
2025-09-12,2025-09-15,0.025618457408601962
2025-09-15,2025-09-16,0.025618457408601962
2025-09-16,2025-09-17,0.025618457408601962
2025-09-17,2025-09-18,0.025618457408601962
2025-09-18,2025-09-19,0.025618457408601962
2025-09-19,2025-09-22,0.025618457408601962
2025-09-22,2025-09-23,0.025618457408601962
2025-09-23,2025-09-24,0.020427979289468233
2025-09-24,2025-09-25,0.020427979289468233
2025-09-25,2025-09-26,0.020427979289468233
2025-09-26,2025-09-29,0.020427979289468233
2025-09-29,2025-09-30,0.020427979289468233
2025-09-30,2025-10-09,0.020427979289468233
