signal_date,available_date,SVM
2021-12-31,2022-01-04,0.10383138060569763
2022-01-04,2022-01-05,-6.789112091064453
2022-01-05,2022-01-06,-4.083683013916016
2022-01-06,2022-01-07,-3.6430039405822754
2022-01-07,2022-01-10,-6.0765299797058105
2022-01-10,2022-01-11,-5.098034381866455
2022-01-11,2022-01-12,-6.576081275939941
2022-01-12,2022-01-13,-5.9171013832092285
2022-01-13,2022-01-14,-6.513245105743408
2022-01-14,2022-01-17,-7.854564666748047
2022-01-17,2022-01-18,-6.050807952880859
2022-01-18,2022-01-19,-7.372560977935791
2022-01-19,2022-01-20,-7.4910078048706055
2022-01-20,2022-01-21,-7.97961950302124
2022-01-21,2022-01-24,-6.18255090713501
2022-01-24,2022-01-25,-6.806723117828369
2022-01-25,2022-01-26,-7.637078762054443
2022-01-26,2022-01-27,-4.27111291885376
2022-01-27,2022-01-28,-3.4430441856384277
2022-01-28,2022-02-07,-5.7374043464660645
2022-02-07,2022-02-08,-1.1959748268127441
2022-02-08,2022-02-09,-1.1562119722366333
2022-02-09,2022-02-10,-0.4914695620536804
2022-02-10,2022-02-11,-0.2523508667945862
2022-02-11,2022-02-14,0.13900382816791534
2022-02-14,2022-02-15,0.16314275562763214
2022-02-15,2022-02-16,0.007436972111463547
2022-02-16,2022-02-17,0.1132977157831192
2022-02-17,2022-02-18,0.311614990234375
2022-02-18,2022-02-21,-0.057587165385484695
2022-02-21,2022-02-22,-0.12787149846553802
2022-02-22,2022-02-23,0.24240373075008392
2022-02-23,2022-02-24,-0.2080375999212265
2022-02-24,2022-02-25,0.19902591407299042
2022-02-25,2022-02-28,-0.23232804238796234
2022-02-28,2022-03-01,0.4320930242538452
2022-03-01,2022-03-02,0.036658309400081635
2022-03-02,2022-03-03,0.20501184463500977
2022-03-03,2022-03-04,-0.42963430285453796
2022-03-04,2022-03-07,-0.8171149492263794
2022-03-07,2022-03-08,0.34413665533065796
2022-03-08,2022-03-09,0.17851155996322632
2022-03-09,2022-03-10,-0.11097512394189835
2022-03-10,2022-03-11,-0.4465583264827728
2022-03-11,2022-03-14,-0.033594436943531036
2022-03-14,2022-03-15,-0.16460907459259033
2022-03-15,2022-03-16,-0.1228610947728157
2022-03-16,2022-03-17,0.7558941841125488
2022-03-17,2022-03-18,0.44138434529304504
2022-03-18,2022-03-21,0.6083563566207886
2022-03-21,2022-03-22,0.6136699318885803
2022-03-22,2022-03-23,0.8662096261978149
2022-03-23,2022-03-24,0.7014065384864807
2022-03-24,2022-03-25,0.9347550868988037
2022-03-25,2022-03-28,0.2860945463180542
2022-03-28,2022-03-29,0.3046254813671112
2022-03-29,2022-03-30,0.4163081645965576
2022-03-30,2022-03-31,0.5077934861183167
2022-03-31,2022-04-01,0.6471181511878967
2022-04-01,2022-04-06,0.44179171323776245
2022-04-06,2022-04-07,-0.18834328651428223
2022-04-07,2022-04-08,0.3576822876930237
2022-04-08,2022-04-11,0.13530012965202332
2022-04-11,2022-04-12,-0.714733362197876
2022-04-12,2022-04-13,-0.5105187892913818
2022-04-13,2022-04-14,-0.7034206390380859
2022-04-14,2022-04-15,-0.9374489784240723
2022-04-15,2022-04-18,-1.1212918758392334
2022-04-18,2022-04-19,-0.5983676314353943
2022-04-19,2022-04-20,-0.35298752784729004
2022-04-20,2022-04-21,-0.3024889826774597
2022-04-21,2022-04-22,-1.1743685007095337
2022-04-22,2022-04-25,-0.8991951942443848
2022-04-25,2022-04-26,-0.5989845991134644
2022-04-26,2022-04-27,-1.4507633447647095
2022-04-27,2022-04-28,-0.8684155941009521
2022-04-28,2022-04-29,-0.7963253259658813
2022-04-29,2022-05-05,-0.2036675214767456
2022-05-05,2022-05-06,0.18661098182201385
2022-05-06,2022-05-09,0.2816477119922638
2022-05-09,2022-05-10,-0.1010272353887558
2022-05-10,2022-05-11,0.08264024555683136
2022-05-11,2022-05-12,0.37905585765838623
2022-05-12,2022-05-13,-0.05980221554636955
2022-05-13,2022-05-16,-0.22219841182231903
2022-05-16,2022-05-17,-0.12215791642665863
2022-05-17,2022-05-18,0.14454372227191925
2022-05-18,2022-05-19,0.4819159507751465
2022-05-19,2022-05-20,0.15713712573051453
2022-05-20,2022-05-23,0.34588560461997986
2022-05-23,2022-05-24,0.24495483934879303
2022-05-24,2022-05-25,-0.668123722076416
2022-05-25,2022-05-26,-0.7036007046699524
2022-05-26,2022-05-27,0.0036041922867298126
2022-05-27,2022-05-30,-0.1566282957792282
2022-05-30,2022-05-31,0.5849387049674988
2022-05-31,2022-06-01,1.008728265762329
2022-06-01,2022-06-02,1.414678931236267
2022-06-02,2022-06-06,0.7523412108421326
2022-06-06,2022-06-07,0.7848117351531982
2022-06-07,2022-06-08,-0.3019685745239258
2022-06-08,2022-06-09,-0.12100003659725189
2022-06-09,2022-06-10,-0.37153327465057373
2022-06-10,2022-06-13,-0.7865725159645081
2022-06-13,2022-06-14,-0.7919062376022339
2022-06-14,2022-06-15,-0.30913835763931274
2022-06-15,2022-06-16,-0.4704887866973877
2022-06-16,2022-06-17,-0.23367248475551605
2022-06-17,2022-06-20,0.6741490364074707
2022-06-20,2022-06-21,0.3603958487510681
2022-06-21,2022-06-22,0.21620507538318634
2022-06-22,2022-06-23,-0.23432905972003937
2022-06-23,2022-06-24,0.0459834486246109
2022-06-24,2022-06-27,0.1180088073015213
2022-06-27,2022-06-28,-0.040829285979270935
2022-06-28,2022-06-29,0.0899522453546524
2022-06-29,2022-06-30,0.31727224588394165
2022-06-30,2022-07-01,0.5981639623641968
2022-07-01,2022-07-04,0.23945243656635284
2022-07-04,2022-07-05,0.23699451982975006
2022-07-05,2022-07-06,-0.8239292502403259
2022-07-06,2022-07-07,-0.9527482986450195
2022-07-07,2022-07-08,-0.7031118869781494
2022-07-08,2022-07-11,-0.7232531309127808
2022-07-11,2022-07-12,-0.8551503419876099
2022-07-12,2022-07-13,-0.6941226720809937
2022-07-13,2022-07-14,-0.5749589204788208
2022-07-14,2022-07-15,0.12567831575870514
2022-07-15,2022-07-18,-0.10319618880748749
2022-07-18,2022-07-19,-1.313255786895752
2022-07-19,2022-07-20,-0.8829150795936584
2022-07-20,2022-07-21,-0.8311192393302917
2022-07-21,2022-07-22,-0.9611146450042725
2022-07-22,2022-07-25,-0.6732144355773926
2022-07-25,2022-07-26,-0.9667295217514038
2022-07-26,2022-07-27,-0.41859322786331177
2022-07-27,2022-07-28,-0.7559157609939575
2022-07-28,2022-07-29,-0.9951642751693726
2022-07-29,2022-08-01,-1.5368027687072754
2022-08-01,2022-08-02,-0.42532914876937866
2022-08-02,2022-08-03,-0.43538033962249756
2022-08-03,2022-08-04,-0.6116048693656921
2022-08-04,2022-08-05,-0.5459663271903992
2022-08-05,2022-08-08,-0.5461472868919373
2022-08-08,2022-08-09,-0.5110048055648804
2022-08-09,2022-08-10,-0.5887947678565979
2022-08-10,2022-08-11,-0.8108099699020386
2022-08-11,2022-08-12,-0.6042251586914062
2022-08-12,2022-08-15,-0.7142111659049988
2022-08-15,2022-08-16,-0.6311470866203308
2022-08-16,2022-08-17,-0.3860718607902527
2022-08-17,2022-08-18,-0.16668815910816193
2022-08-18,2022-08-19,0.22433458268642426
2022-08-19,2022-08-22,-0.3355140686035156
2022-08-22,2022-08-23,-0.011112287640571594
2022-08-23,2022-08-24,-0.48624467849731445
2022-08-24,2022-08-25,-0.18760760128498077
2022-08-25,2022-08-26,-0.15177758038043976
2022-08-26,2022-08-29,0.3620032072067261
2022-08-29,2022-08-30,0.26574820280075073
2022-08-30,2022-08-31,0.28889405727386475
2022-08-31,2022-09-01,0.12332741916179657
2022-09-01,2022-09-02,-0.8489928245544434
2022-09-02,2022-09-05,-1.9025959968566895
2022-09-05,2022-09-06,-3.4481382369995117
2022-09-06,2022-09-07,-1.5608651638031006
2022-09-07,2022-09-08,-1.6480159759521484
2022-09-08,2022-09-09,-1.7707130908966064
2022-09-09,2022-09-13,-0.6475479602813721
2022-09-13,2022-09-14,-0.777169942855835
2022-09-14,2022-09-15,-1.772423267364502
2022-09-15,2022-09-16,-1.0176719427108765
2022-09-16,2022-09-19,-1.9715887308120728
2022-09-19,2022-09-20,-1.193861484527588
2022-09-20,2022-09-21,-0.7644720077514648
2022-09-21,2022-09-22,-1.1895160675048828
2022-09-22,2022-09-23,-2.2323267459869385
2022-09-23,2022-09-26,-4.147622585296631
2022-09-26,2022-09-27,-2.628810167312622
2022-09-27,2022-09-28,-1.914581537246704
2022-09-28,2022-09-29,-0.3934772312641144
2022-09-29,2022-09-30,0.9241647720336914
2022-09-30,2022-10-10,-1.019903540611267
2022-10-10,2022-10-11,-0.20463764667510986
2022-10-11,2022-10-12,0.30207717418670654
2022-10-12,2022-10-13,0.7829959392547607
2022-10-13,2022-10-14,0.08965826034545898
2022-10-14,2022-10-17,0.5906522274017334
2022-10-17,2022-10-18,-0.1263154149055481
2022-10-18,2022-10-19,0.5436291694641113
2022-10-19,2022-10-20,0.6567978262901306
2022-10-20,2022-10-21,0.08631318807601929
2022-10-21,2022-10-24,0.25306904315948486
2022-10-24,2022-10-25,0.0345730222761631
2022-10-25,2022-10-26,-0.30830055475234985
2022-10-26,2022-10-27,-0.01790621504187584
2022-10-27,2022-10-28,-0.08876541256904602
2022-10-28,2022-10-31,0.050199005752801895
2022-10-31,2022-11-01,-0.3671424984931946
2022-11-01,2022-11-02,0.11815983057022095
2022-11-02,2022-11-03,-0.1643049120903015
2022-11-03,2022-11-04,-0.28864365816116333
2022-11-04,2022-11-07,-0.11650729179382324
2022-11-07,2022-11-08,0.048838060349226
2022-11-08,2022-11-09,-0.5085405111312866
2022-11-09,2022-11-10,-0.459277868270874
2022-11-10,2022-11-11,-0.4051058292388916
2022-11-11,2022-11-14,-0.3086951673030853
2022-11-14,2022-11-15,-0.0561317540705204
2022-11-15,2022-11-16,0.2534737288951874
2022-11-16,2022-11-17,0.020060833543539047
2022-11-17,2022-11-18,0.061185237020254135
2022-11-18,2022-11-21,-0.11451244354248047
2022-11-21,2022-11-22,-0.15775761008262634
2022-11-22,2022-11-23,-0.4859578013420105
2022-11-23,2022-11-24,-0.790157675743103
2022-11-24,2022-11-25,-0.4465314745903015
2022-11-25,2022-11-28,-0.22605371475219727
2022-11-28,2022-11-29,-0.3648362159729004
2022-11-29,2022-11-30,-0.08219939470291138
2022-11-30,2022-12-01,-0.354857861995697
2022-12-01,2022-12-02,-0.24478736519813538
2022-12-02,2022-12-05,-0.19919702410697937
2022-12-05,2022-12-06,-0.290995329618454
2022-12-06,2022-12-07,0.017315536737442017
2022-12-07,2022-12-08,0.03213885426521301
2022-12-08,2022-12-09,-0.09945091605186462
2022-12-09,2022-12-12,-0.18113139271736145
2022-12-12,2022-12-13,-0.03918185830116272
2022-12-13,2022-12-14,-0.12381038069725037
2022-12-14,2022-12-15,-0.03926059603691101
2022-12-15,2022-12-16,-0.25302574038505554
2022-12-16,2022-12-19,0.049717217683792114
2022-12-19,2022-12-20,-0.542678713798523
2022-12-20,2022-12-21,-0.623517632484436
2022-12-21,2022-12-22,-0.31954333186149597
2022-12-22,2022-12-23,-0.9833054542541504
2022-12-23,2022-12-26,-0.576722264289856
2022-12-26,2022-12-27,-0.007460445165634155
2022-12-27,2022-12-28,-0.536504864692688
2022-12-28,2022-12-29,-0.5595333576202393
2022-12-29,2022-12-30,-0.327227383852005
2022-12-30,2023-01-03,-0.29703250527381897
2023-01-03,2023-01-04,0.21536433696746826
2023-01-04,2023-01-05,0.04423578828573227
