signal_date,available_date,SVM
2023-06-30,2023-07-03,0.35910165309906006
2023-07-03,2023-07-04,0.36541885137557983
2023-07-04,2023-07-05,0.33214089274406433
2023-07-05,2023-07-06,0.9022167921066284
2023-07-06,2023-07-07,-1.0783584117889404
2023-07-07,2023-07-10,-0.6160136461257935
2023-07-10,2023-07-11,-1.3022037744522095
2023-07-11,2023-07-12,-0.7167587280273438
2023-07-12,2023-07-13,-0.5865094661712646
2023-07-13,2023-07-14,-0.47474145889282227
2023-07-14,2023-07-17,-0.536920964717865
2023-07-17,2023-07-18,-0.7839325070381165
2023-07-18,2023-07-19,-0.9474438428878784
2023-07-19,2023-07-20,-0.696284294128418
2023-07-20,2023-07-21,-1.3180752992630005
2023-07-21,2023-07-24,0.9232237935066223
2023-07-24,2023-07-25,0.6908705234527588
2023-07-25,2023-07-26,0.5390620827674866
2023-07-26,2023-07-27,0.7369887232780457
2023-07-27,2023-07-28,-0.14679938554763794
2023-07-28,2023-07-31,0.6708089113235474
2023-07-31,2023-08-01,1.1077154874801636
2023-08-01,2023-08-02,1.1078312397003174
2023-08-02,2023-08-03,1.5525189638137817
2023-08-03,2023-08-04,0.9328895211219788
2023-08-04,2023-08-07,1.0596870183944702
2023-08-07,2023-08-08,0.8116195797920227
2023-08-08,2023-08-09,1.6771868467330933
2023-08-09,2023-08-10,1.4610776901245117
2023-08-10,2023-08-11,1.8383290767669678
2023-08-11,2023-08-14,2.2690584659576416
2023-08-14,2023-08-15,1.4272745847702026
2023-08-15,2023-08-16,2.815962553024292
2023-08-16,2023-08-17,2.7919299602508545
2023-08-17,2023-08-18,2.8138654232025146
2023-08-18,2023-08-21,3.0107429027557373
2023-08-21,2023-08-22,2.1937835216522217
2023-08-22,2023-08-23,2.5483014583587646
2023-08-23,2023-08-24,2.316992998123169
2023-08-24,2023-08-25,1.8053240776062012
2023-08-25,2023-08-28,0.5524927973747253
2023-08-28,2023-08-29,0.018926821649074554
2023-08-29,2023-08-30,-0.5179773569107056
2023-08-30,2023-08-31,-0.9867221713066101
2023-08-31,2023-09-01,-0.8041049838066101
2023-09-01,2023-09-04,-0.6518135666847229
2023-09-04,2023-09-05,-0.8907840847969055
2023-09-05,2023-09-06,-0.20897917449474335
2023-09-06,2023-09-07,-0.25663477182388306
2023-09-07,2023-09-08,-0.14386121928691864
2023-09-08,2023-09-11,-0.05326668918132782
2023-09-11,2023-09-12,-0.017528697848320007
2023-09-12,2023-09-13,-0.1265426129102707
2023-09-13,2023-09-14,0.33891457319259644
2023-09-14,2023-09-15,0.6217488646507263
2023-09-15,2023-09-18,0.3433789610862732
2023-09-18,2023-09-19,0.408294141292572
2023-09-19,2023-09-20,0.561427891254425
2023-09-20,2023-09-21,0.7904049754142761
2023-09-21,2023-09-22,0.8717462420463562
2023-09-22,2023-09-25,1.1701059341430664
2023-09-25,2023-09-26,0.5705377459526062
2023-09-26,2023-09-27,0.6947738528251648
2023-09-27,2023-09-28,0.19743652641773224
2023-09-28,2023-10-09,0.35621851682662964
2023-10-09,2023-10-10,0.27664750814437866
2023-10-10,2023-10-11,0.5002462863922119
2023-10-11,2023-10-12,0.5279364585876465
2023-10-12,2023-10-13,-0.438002347946167
2023-10-13,2023-10-16,-0.4706863760948181
2023-10-16,2023-10-17,0.1931058168411255
2023-10-17,2023-10-18,0.31814759969711304
2023-10-18,2023-10-19,0.16511499881744385
2023-10-19,2023-10-20,0.03780257701873779
2023-10-20,2023-10-23,-0.44476985931396484
2023-10-23,2023-10-24,-1.0002009868621826
2023-10-24,2023-10-25,-1.0289357900619507
2023-10-25,2023-10-26,-0.2743852734565735
2023-10-26,2023-10-27,-0.4489576816558838
2023-10-27,2023-10-30,0.09700047969818115
2023-10-30,2023-10-31,0.07025408744812012
2023-10-31,2023-11-01,0.2789706587791443
2023-11-01,2023-11-02,0.2512427866458893
2023-11-02,2023-11-03,0.7219027876853943
2023-11-03,2023-11-06,-0.9084690809249878
2023-11-06,2023-11-07,-1.6870957612991333
2023-11-07,2023-11-08,-1.0353034734725952
2023-11-08,2023-11-09,-0.11706064641475677
2023-11-09,2023-11-10,-0.536953866481781
2023-11-10,2023-11-13,-0.007352305576205254
2023-11-13,2023-11-14,0.03515589237213135
2023-11-14,2023-11-15,-0.05352573096752167
2023-11-15,2023-11-16,-0.5571141242980957
2023-11-16,2023-11-17,0.12001396715641022
2023-11-17,2023-11-20,-0.8170194625854492
2023-11-20,2023-11-21,-0.9547091722488403
2023-11-21,2023-11-22,0.17688758671283722
2023-11-22,2023-11-23,-0.055153682827949524
2023-11-23,2023-11-24,-0.4361474812030792
2023-11-24,2023-11-27,0.5700030326843262
2023-11-27,2023-11-28,0.3870539963245392
2023-11-28,2023-11-29,-0.11551813781261444
2023-11-29,2023-11-30,0.1975831836462021
2023-11-30,2023-12-01,-0.14033876359462738
2023-12-01,2023-12-04,-0.28768646717071533
2023-12-04,2023-12-05,0.10073613375425339
2023-12-05,2023-12-06,0.07421087473630905
2023-12-06,2023-12-07,-0.951094925403595
2023-12-07,2023-12-08,-0.22076928615570068
2023-12-08,2023-12-11,-0.3423975706100464
2023-12-11,2023-12-12,-0.4408963918685913
2023-12-12,2023-12-13,-0.16138839721679688
2023-12-13,2023-12-14,0.14641320705413818
2023-12-14,2023-12-15,-0.045690424740314484
2023-12-15,2023-12-18,-0.5436155796051025
2023-12-18,2023-12-19,-0.8924456834793091
2023-12-19,2023-12-20,-1.1346619129180908
2023-12-20,2023-12-21,-0.6716172695159912
2023-12-21,2023-12-22,-1.0221366882324219
2023-12-22,2023-12-25,-1.655130386352539
2023-12-25,2023-12-26,-1.3410365581512451
2023-12-26,2023-12-27,-1.3335306644439697
2023-12-27,2023-12-28,-0.9179120063781738
2023-12-28,2023-12-29,-0.8929057717323303
2023-12-29,2024-01-02,-1.0257729291915894
2024-01-02,2024-01-03,-2.2375988960266113
2024-01-03,2024-01-04,-3.0192716121673584
2024-01-04,2024-01-05,-2.981477975845337
2024-01-05,2024-01-08,-2.243105411529541
2024-01-08,2024-01-09,-1.8888599872589111
2024-01-09,2024-01-10,-4.2946977615356445
2024-01-10,2024-01-11,-7.75590705871582
2024-01-11,2024-01-12,-5.28803014755249
2024-01-12,2024-01-15,-3.755885601043701
2024-01-15,2024-01-16,-4.373032093048096
2024-01-16,2024-01-17,-5.258434772491455
2024-01-17,2024-01-18,-2.7131800651550293
2024-01-18,2024-01-19,-1.714890480041504
2024-01-19,2024-01-22,0.42053481936454773
2024-01-22,2024-01-23,-1.8976075649261475
2024-01-23,2024-01-24,-3.4537429809570312
2024-01-24,2024-01-25,-3.7451436519622803
2024-01-25,2024-01-26,-4.123416423797607
2024-01-26,2024-01-29,-2.7105815410614014
2024-01-29,2024-01-30,1.4656747579574585
2024-01-30,2024-01-31,1.2309972047805786
2024-01-31,2024-02-01,0.9240321516990662
2024-02-01,2024-02-02,0.14105698466300964
2024-02-02,2024-02-05,1.2667007446289062
2024-02-05,2024-02-06,2.5089492797851562
2024-02-06,2024-02-07,2.94018292427063
2024-02-07,2024-02-08,2.872321605682373
2024-02-08,2024-02-19,2.0881502628326416
2024-02-19,2024-02-20,1.1270136833190918
2024-02-20,2024-02-21,1.3804636001586914
2024-02-21,2024-02-22,2.322556972503662
2024-02-22,2024-02-23,1.1417953968048096
2024-02-23,2024-02-26,1.3143503665924072
2024-02-26,2024-02-27,1.7111486196517944
2024-02-27,2024-02-28,2.274665355682373
2024-02-28,2024-02-29,2.2192492485046387
2024-02-29,2024-03-01,1.8850650787353516
2024-03-01,2024-03-04,0.4726139307022095
2024-03-04,2024-03-05,-0.10726390779018402
2024-03-05,2024-03-06,0.23238028585910797
2024-03-06,2024-03-07,0.26467061042785645
2024-03-07,2024-03-08,0.5032594203948975
