signal_date,available_date,SVM
2020-01-02,2020-01-03,-0.40483877062797546
2020-01-03,2020-01-06,0.6291365027427673
2020-01-06,2020-01-07,0.5210224986076355
2020-01-07,2020-01-08,0.6378158330917358
2020-01-08,2020-01-09,0.6586625576019287
2020-01-09,2020-01-10,0.9022566676139832
2020-01-10,2020-01-13,0.46627816557884216
2020-01-13,2020-01-14,0.4044099748134613
2020-01-14,2020-01-15,0.28043046593666077
2020-01-15,2020-01-16,0.2123601734638214
2020-01-16,2020-01-17,0.21321608126163483
2020-01-17,2020-01-20,-0.6210733652114868
2020-01-20,2020-01-21,-1.037333607673645
2020-01-21,2020-01-22,-0.3564750552177429
2020-01-22,2020-01-23,-0.5277197957038879
2020-01-23,2020-02-03,-0.33742570877075195
2020-02-03,2020-02-04,-0.6530449390411377
2020-02-04,2020-02-05,-0.43317022919654846
2020-02-05,2020-02-06,-0.9509196281433105
2020-02-06,2020-02-07,-0.40653958916664124
2020-02-07,2020-02-10,-0.31189242005348206
2020-02-10,2020-02-11,0.030312921851873398
2020-02-11,2020-02-12,0.15067514777183533
2020-02-12,2020-02-13,0.5561298131942749
2020-02-13,2020-02-14,-0.10572174191474915
2020-02-14,2020-02-17,-0.8218938112258911
2020-02-17,2020-02-18,-0.45334842801094055
2020-02-18,2020-02-19,-0.761777400970459
2020-02-19,2020-02-20,-1.5619524717330933
2020-02-20,2020-02-21,-0.9268808364868164
2020-02-21,2020-02-24,-1.660803198814392
2020-02-24,2020-02-25,-1.792268991470337
2020-02-25,2020-02-26,-2.1105573177337646
2020-02-26,2020-02-27,-2.3058974742889404
2020-02-27,2020-02-28,-2.4286653995513916
2020-02-28,2020-03-02,-2.4040467739105225
2020-03-02,2020-03-03,-1.66990327835083
2020-03-03,2020-03-04,-2.2141385078430176
2020-03-04,2020-03-05,-1.5596390962600708
2020-03-05,2020-03-06,-2.3108139038085938
2020-03-06,2020-03-09,-1.1035414934158325
2020-03-09,2020-03-10,-0.2674448788166046
2020-03-10,2020-03-11,-0.7615656852722168
2020-03-11,2020-03-12,-0.20075926184654236
2020-03-12,2020-03-13,-1.42545747756958
2020-03-13,2020-03-16,-0.4303746819496155
2020-03-16,2020-03-17,-1.2932870388031006
2020-03-17,2020-03-18,-1.6763191223144531
2020-03-18,2020-03-19,-1.2588870525360107
2020-03-19,2020-03-20,-1.3189060688018799
2020-03-20,2020-03-23,-0.624455988407135
2020-03-23,2020-03-24,0.8585476279258728
2020-03-24,2020-03-25,0.3766460120677948
2020-03-25,2020-03-26,0.9318017363548279
2020-03-26,2020-03-27,0.9302430152893066
2020-03-27,2020-03-30,0.027452286332845688
2020-03-30,2020-03-31,-0.2978736460208893
2020-03-31,2020-04-01,-0.5855304598808289
2020-04-01,2020-04-02,-4.144407749176025
2020-04-02,2020-04-03,-4.172062397003174
2020-04-03,2020-04-07,-1.962538480758667
2020-04-07,2020-04-08,-1.3232715129852295
2020-04-08,2020-04-09,-1.4434583187103271
