signal_date,available_date,SVM
2021-06-30,2021-07-01,-1.0465967655181885
2021-07-01,2021-07-02,-0.5508995652198792
2021-07-02,2021-07-05,-0.750432014465332
2021-07-05,2021-07-06,-0.5688939094543457
2021-07-06,2021-07-07,-0.4854855537414551
2021-07-07,2021-07-08,-1.433861494064331
2021-07-08,2021-07-09,-1.2050377130508423
2021-07-09,2021-07-12,-1.0333244800567627
2021-07-12,2021-07-13,-0.5040770769119263
2021-07-13,2021-07-14,-0.42549484968185425
2021-07-14,2021-07-15,-0.5394768118858337
2021-07-15,2021-07-16,-0.35350656509399414
2021-07-16,2021-07-19,-0.27004170417785645
2021-07-19,2021-07-20,-0.877877950668335
2021-07-20,2021-07-21,-0.8046896457672119
2021-07-21,2021-07-22,0.3824511766433716
2021-07-22,2021-07-23,-0.11272798478603363
2021-07-23,2021-07-26,0.9056104421615601
2021-07-26,2021-07-27,0.7634515762329102
2021-07-27,2021-07-28,0.28588950634002686
2021-07-28,2021-07-29,0.5046807527542114
2021-07-29,2021-07-30,0.36640477180480957
2021-07-30,2021-08-02,-0.39466989040374756
2021-08-02,2021-08-03,4.981217861175537
2021-08-03,2021-08-04,6.853072643280029
2021-08-04,2021-08-05,4.343597412109375
2021-08-05,2021-08-06,2.787540912628174
2021-08-06,2021-08-09,6.087029933929443
2021-08-09,2021-08-10,5.83115816116333
2021-08-10,2021-08-11,6.059596061706543
2021-08-11,2021-08-12,5.170007228851318
2021-08-12,2021-08-13,4.612675189971924
2021-08-13,2021-08-16,8.761773109436035
2021-08-16,2021-08-17,8.82334041595459
2021-08-17,2021-08-18,6.906990051269531
2021-08-18,2021-08-19,7.022714138031006
2021-08-19,2021-08-20,7.273395538330078
2021-08-20,2021-08-23,7.916428089141846
2021-08-23,2021-08-24,5.175644397735596
2021-08-24,2021-08-25,2.1711015701293945
2021-08-25,2021-08-26,1.7403769493103027
2021-08-26,2021-08-27,3.6349992752075195
2021-08-27,2021-08-30,2.7389297485351562
2021-08-30,2021-08-31,0.7403218150138855
2021-08-31,2021-09-01,7.5419793128967285
2021-09-01,2021-09-02,0.8258654475212097
2021-09-02,2021-09-03,1.5759938955307007
2021-09-03,2021-09-06,0.9681110978126526
2021-09-06,2021-09-07,0.2519388794898987
2021-09-07,2021-09-08,1.1322139501571655
2021-09-08,2021-09-09,0.417047917842865
2021-09-09,2021-09-10,0.8800714612007141
2021-09-10,2021-09-13,-0.8296908140182495
2021-09-13,2021-09-14,0.37524205446243286
2021-09-14,2021-09-15,1.2125115394592285
2021-09-15,2021-09-16,-0.09551561623811722
2021-09-16,2021-09-17,-0.6378930807113647
2021-09-17,2021-09-22,-0.9269506931304932
2021-09-22,2021-09-23,-0.7580570578575134
2021-09-23,2021-09-24,-0.6235007047653198
2021-09-24,2021-09-27,-0.04372025281190872
2021-09-27,2021-09-28,0.3245255947113037
2021-09-28,2021-09-29,0.9786337018013
2021-09-29,2021-09-30,0.6855242252349854
2021-09-30,2021-10-08,-0.15452474355697632
2021-10-08,2021-10-11,0.32264867424964905
2021-10-11,2021-10-12,-0.2616885304450989
2021-10-12,2021-10-13,1.07908296585083
2021-10-13,2021-10-14,0.5482155084609985
2021-10-14,2021-10-15,0.8242236375808716
2021-10-15,2021-10-18,-0.5318595170974731
2021-10-18,2021-10-19,-0.373506635427475
2021-10-19,2021-10-20,-0.12092657387256622
2021-10-20,2021-10-21,-0.28382834792137146
2021-10-21,2021-10-22,0.5536372065544128
2021-10-22,2021-10-25,-0.2716861367225647
2021-10-25,2021-10-26,-0.156000554561615
2021-10-26,2021-10-27,-0.2521466016769409
2021-10-27,2021-10-28,-0.04562658071517944
2021-10-28,2021-10-29,-0.5676818490028381
2021-10-29,2021-11-01,-0.4632875323295593
2021-11-01,2021-11-02,-2.4059677124023438
2021-11-02,2021-11-03,-3.963231325149536
2021-11-03,2021-11-04,-5.281619071960449
2021-11-04,2021-11-05,-3.323949098587036
