signal_date,available_date,SVM
2020-01-02,2020-01-03,-0.6086893677711487
2020-01-03,2020-01-06,-1.3639168739318848
2020-01-06,2020-01-07,-1.5694366693496704
2020-01-07,2020-01-08,-1.3662647008895874
2020-01-08,2020-01-09,-0.7114378809928894
2020-01-09,2020-01-10,-0.6141999363899231
2020-01-10,2020-01-13,-0.6331964135169983
2020-01-13,2020-01-14,-1.0130339860916138
2020-01-14,2020-01-15,-0.2132161557674408
2020-01-15,2020-01-16,0.21153631806373596
2020-01-16,2020-01-17,-0.18841418623924255
2020-01-17,2020-01-20,-0.6517624258995056
2020-01-20,2020-01-21,-0.9007392525672913
2020-01-21,2020-01-22,-1.2462828159332275
2020-01-22,2020-01-23,-1.2388957738876343
2020-01-23,2020-02-03,-1.8420110940933228
2020-02-03,2020-02-04,-0.05483338609337807
2020-02-04,2020-02-05,-1.1675909757614136
2020-02-05,2020-02-06,-1.406927466392517
2020-02-06,2020-02-07,-0.9399751424789429
2020-02-07,2020-02-10,-0.23873600363731384
2020-02-10,2020-02-11,-0.017440173774957657
2020-02-11,2020-02-12,0.22003284096717834
2020-02-12,2020-02-13,0.42830243706703186
2020-02-13,2020-02-14,0.40254154801368713
2020-02-14,2020-02-17,0.1762007772922516
2020-02-17,2020-02-18,0.5449022054672241
2020-02-18,2020-02-19,-0.2922731339931488
2020-02-19,2020-02-20,-0.05646667256951332
2020-02-20,2020-02-21,-0.12057432532310486
2020-02-21,2020-02-24,-0.045339081436395645
2020-02-24,2020-02-25,-0.9758244752883911
2020-02-25,2020-02-26,-0.8878189325332642
2020-02-26,2020-02-27,-0.08580824732780457
2020-02-27,2020-02-28,-0.14703664183616638
2020-02-28,2020-03-02,-0.49390169978141785
2020-03-02,2020-03-03,0.2438884675502777
2020-03-03,2020-03-04,-0.3995794355869293
2020-03-04,2020-03-05,0.0994633138179779
2020-03-05,2020-03-06,-0.2650679647922516
2020-03-06,2020-03-09,-0.28652867674827576
2020-03-09,2020-03-10,0.38908883929252625
2020-03-10,2020-03-11,0.2055680751800537
2020-03-11,2020-03-12,0.5007084608078003
2020-03-12,2020-03-13,0.6251364350318909
2020-03-13,2020-03-16,0.7000067234039307
2020-03-16,2020-03-17,1.452433466911316
2020-03-17,2020-03-18,1.281681776046753
2020-03-18,2020-03-19,1.253299355506897
2020-03-19,2020-03-20,1.4175761938095093
2020-03-20,2020-03-23,1.4756184816360474
2020-03-23,2020-03-24,2.2111291885375977
2020-03-24,2020-03-25,1.518519401550293
2020-03-25,2020-03-26,2.1420347690582275
2020-03-26,2020-03-27,1.2849738597869873
2020-03-27,2020-03-30,1.579667091369629
2020-03-30,2020-03-31,1.134116768836975
2020-03-31,2020-04-01,1.5019912719726562
2020-04-01,2020-04-02,-1.6812480688095093
2020-04-02,2020-04-03,-3.9876601696014404
2020-04-03,2020-04-07,-1.154118537902832
2020-04-07,2020-04-08,0.18709443509578705
2020-04-08,2020-04-09,5.251779079437256
2020-04-09,2020-04-10,1.2721443176269531
2020-04-10,2020-04-13,3.7162914276123047
2020-04-13,2020-04-14,4.128200054168701
2020-04-14,2020-04-15,0.11452458798885345
2020-04-15,2020-04-16,0.435375452041626
2020-04-16,2020-04-17,1.559004306793213
2020-04-17,2020-04-20,1.540309190750122
2020-04-20,2020-04-21,2.068491220474243
2020-04-21,2020-04-22,2.5571045875549316
2020-04-22,2020-04-23,2.5196964740753174
2020-04-23,2020-04-24,3.5024497509002686
2020-04-24,2020-04-27,1.9363105297088623
2020-04-27,2020-04-28,0.9388291835784912
2020-04-28,2020-04-29,1.9748485088348389
2020-04-29,2020-04-30,0.6184444427490234
2020-04-30,2020-05-06,-1.5254204273223877
2020-05-06,2020-05-07,-1.2414042949676514
2020-05-07,2020-05-08,-0.4878546893596649
2020-05-08,2020-05-11,-0.986652135848999
2020-05-11,2020-05-12,-0.4138888418674469
2020-05-12,2020-05-13,0.4566878378391266
2020-05-13,2020-05-14,0.6409546136856079
2020-05-14,2020-05-15,2.1084301471710205
2020-05-15,2020-05-18,1.2654733657836914
2020-05-18,2020-05-19,1.7281094789505005
2020-05-19,2020-05-20,0.48007264733314514
2020-05-20,2020-05-21,-1.336809515953064
2020-05-21,2020-05-22,-1.6186996698379517
2020-05-22,2020-05-25,-1.3745895624160767
2020-05-25,2020-05-26,-1.354773998260498
2020-05-26,2020-05-27,-0.7433451414108276
2020-05-27,2020-05-28,-0.5356892347335815
2020-05-28,2020-05-29,-1.5223677158355713
2020-05-29,2020-06-01,-0.5196653604507446
2020-06-01,2020-06-02,-1.23409903049469
2020-06-02,2020-06-03,0.23687252402305603
2020-06-03,2020-06-04,-3.8189406394958496
2020-06-04,2020-06-05,-3.446434736251831
2020-06-05,2020-06-08,-2.737945318222046
2020-06-08,2020-06-09,0.3092202842235565
2020-06-09,2020-06-10,-1.516901969909668
2020-06-10,2020-06-11,-2.6681923866271973
2020-06-11,2020-06-12,-1.7881335020065308
2020-06-12,2020-06-15,-2.1775431632995605
2020-06-15,2020-06-16,1.887942910194397
