signal_date,available_date,SVM
2020-01-02,2020-01-03,-0.581027090549469
2020-01-03,2020-01-06,-0.8809941411018372
2020-01-06,2020-01-07,-0.5669796466827393
2020-01-07,2020-01-08,-0.9519768953323364
2020-01-08,2020-01-09,-1.5430835485458374
2020-01-09,2020-01-10,0.06709195673465729
2020-01-10,2020-01-13,-0.5313984751701355
2020-01-13,2020-01-14,-0.2566317021846771
2020-01-14,2020-01-15,-0.4841032326221466
2020-01-15,2020-01-16,-0.9373367428779602
2020-01-16,2020-01-17,-1.0434249639511108
2020-01-17,2020-01-20,-1.2661188840866089
2020-01-20,2020-01-21,-1.121236801147461
2020-01-21,2020-01-22,-0.9611857533454895
2020-01-22,2020-01-23,-0.9858755469322205
2020-01-23,2020-02-03,-1.1464803218841553
2020-02-03,2020-02-04,-0.7330557107925415
2020-02-04,2020-02-05,-0.15182693302631378
2020-02-05,2020-02-06,-0.08972957730293274
2020-02-06,2020-02-07,-0.01994827762246132
2020-02-07,2020-02-10,-0.2882634103298187
2020-02-10,2020-02-11,-0.12431854009628296
2020-02-11,2020-02-12,-0.20401817560195923
2020-02-12,2020-02-13,0.23892000317573547
2020-02-13,2020-02-14,-0.03644583001732826
2020-02-14,2020-02-17,0.18482515215873718
2020-02-17,2020-02-18,-0.26184913516044617
2020-02-18,2020-02-19,-0.22981339693069458
2020-02-19,2020-02-20,-0.7867014408111572
2020-02-20,2020-02-21,-0.3645259439945221
2020-02-21,2020-02-24,-0.7579187154769897
2020-02-24,2020-02-25,-0.627031147480011
2020-02-25,2020-02-26,-1.0041258335113525
2020-02-26,2020-02-27,-0.7040479183197021
2020-02-27,2020-02-28,-0.354351282119751
2020-02-28,2020-03-02,-0.3494899272918701
2020-03-02,2020-03-03,-0.0413036085665226
2020-03-03,2020-03-04,-0.12049782276153564
2020-03-04,2020-03-05,-0.35379448533058167
2020-03-05,2020-03-06,-0.4489828050136566
2020-03-06,2020-03-09,-1.7881989479064941
2020-03-09,2020-03-10,-2.0954713821411133
2020-03-10,2020-03-11,-1.682952642440796
2020-03-11,2020-03-12,-1.139535903930664
2020-03-12,2020-03-13,-0.523765504360199
2020-03-13,2020-03-16,-0.32532402873039246
2020-03-16,2020-03-17,-0.7061013579368591
2020-03-17,2020-03-18,-0.3637297451496124
2020-03-18,2020-03-19,-0.819564700126648
2020-03-19,2020-03-20,-0.5551093220710754
2020-03-20,2020-03-23,-0.6980624198913574
2020-03-23,2020-03-24,-0.2818937599658966
2020-03-24,2020-03-25,-0.46264687180519104
2020-03-25,2020-03-26,-0.15759481489658356
2020-03-26,2020-03-27,0.14470940828323364
2020-03-27,2020-03-30,0.2778656482696533
2020-03-30,2020-03-31,-0.11366373300552368
2020-03-31,2020-04-01,-0.5652759671211243
2020-04-01,2020-04-02,-2.9869353771209717
2020-04-02,2020-04-03,-2.9783124923706055
2020-04-03,2020-04-07,-4.742588043212891
2020-04-07,2020-04-08,-4.990938663482666
2020-04-08,2020-04-09,-3.1579277515411377
2020-04-09,2020-04-10,-4.106382369995117
2020-04-10,2020-04-13,-3.073378801345825
2020-04-13,2020-04-14,-1.8779561519622803
2020-04-14,2020-04-15,-0.5872471332550049
2020-04-15,2020-04-16,-1.710796594619751
2020-04-16,2020-04-17,-3.0441627502441406
2020-04-17,2020-04-20,-2.3750574588775635
2020-04-20,2020-04-21,-3.1111257076263428
2020-04-21,2020-04-22,-2.2468159198760986
2020-04-22,2020-04-23,-3.794485569000244
2020-04-23,2020-04-24,-1.1307618618011475
2020-04-24,2020-04-27,-2.164710760116577
2020-04-27,2020-04-28,-3.024796962738037
2020-04-28,2020-04-29,-2.117504358291626
2020-04-29,2020-04-30,-2.7732999324798584
2020-04-30,2020-05-06,-1.3503425121307373
