signal_date,available_date,SVM
2025-06-30,2025-07-01,0.5333470106124878
2025-07-01,2025-07-02,1.2097703218460083
2025-07-02,2025-07-03,-0.7637224197387695
2025-07-03,2025-07-04,-1.8127118349075317
2025-07-04,2025-07-07,-3.181626558303833
2025-07-07,2025-07-08,0.6142070293426514
2025-07-08,2025-07-09,-1.8575973510742188
2025-07-09,2025-07-10,-1.2346340417861938
2025-07-10,2025-07-11,-0.6691368818283081
2025-07-11,2025-07-14,0.2954498827457428
2025-07-14,2025-07-15,0.26679232716560364
2025-07-15,2025-07-16,-0.0021246373653411865
2025-07-16,2025-07-17,-1.2102288007736206
2025-07-17,2025-07-18,-0.9314202070236206
2025-07-18,2025-07-21,-2.9459402561187744
2025-07-21,2025-07-22,-4.708930969238281
2025-07-22,2025-07-23,-3.5060012340545654
2025-07-23,2025-07-24,-3.6036081314086914
2025-07-24,2025-07-25,-5.61705207824707
2025-07-25,2025-07-28,-3.929387331008911
2025-07-28,2025-07-29,-2.0893499851226807
2025-07-29,2025-07-30,-3.6653101444244385
2025-07-30,2025-07-31,-1.8590021133422852
2025-07-31,2025-08-01,-3.8353607654571533
2025-08-01,2025-08-04,-1.1626427173614502
2025-08-04,2025-08-05,-0.9582828283309937
2025-08-05,2025-08-06,-0.5927577614784241
2025-08-06,2025-08-07,-1.3180427551269531
2025-08-07,2025-08-08,-0.6700612306594849
2025-08-08,2025-08-11,-0.4826997220516205
2025-08-11,2025-08-12,-1.2020881175994873
2025-08-12,2025-08-13,-0.6132150888442993
2025-08-13,2025-08-14,-0.6860840320587158
2025-08-14,2025-08-15,-0.5646530985832214
2025-08-15,2025-08-18,-1.0180333852767944
2025-08-18,2025-08-19,-1.5391271114349365
2025-08-19,2025-08-20,-1.0133931636810303
2025-08-20,2025-08-21,-0.347562700510025
2025-08-21,2025-08-22,-0.09157807379961014
2025-08-22,2025-08-25,0.010454259812831879
2025-08-25,2025-08-26,-1.3486058712005615
