signal_date,available_date,SVM
2021-12-31,2022-01-04,-0.23021696507930756
2022-01-04,2022-01-05,-2.0565404891967773
2022-01-05,2022-01-06,-5.600402355194092
2022-01-06,2022-01-07,-5.291850566864014
2022-01-07,2022-01-10,-3.7275195121765137
2022-01-10,2022-01-11,-2.633882999420166
2022-01-11,2022-01-12,-3.931781768798828
2022-01-12,2022-01-13,-3.094900608062744
2022-01-13,2022-01-14,-0.5051214694976807
2022-01-14,2022-01-17,-0.3550727367401123
2022-01-17,2022-01-18,0.3923831582069397
2022-01-18,2022-01-19,-2.1180458068847656
2022-01-19,2022-01-20,-2.1367640495300293
2022-01-20,2022-01-21,-3.2678380012512207
2022-01-21,2022-01-24,-3.3569726943969727
2022-01-24,2022-01-25,-1.8891066312789917
2022-01-25,2022-01-26,-0.43911683559417725
2022-01-26,2022-01-27,-1.3609627485275269
2022-01-27,2022-01-28,-3.058680534362793
2022-01-28,2022-02-07,-3.7316174507141113
2022-02-07,2022-02-08,-1.3552883863449097
2022-02-08,2022-02-09,-1.5645991563796997
2022-02-09,2022-02-10,-0.49463844299316406
2022-02-10,2022-02-11,-0.5568603873252869
2022-02-11,2022-02-14,-0.12459017336368561
2022-02-14,2022-02-15,-0.18069736659526825
2022-02-15,2022-02-16,-0.2854377031326294
2022-02-16,2022-02-17,-0.1825687140226364
2022-02-17,2022-02-18,-0.6142069101333618
2022-02-18,2022-02-21,-0.6373674869537354
2022-02-21,2022-02-22,-0.39759737253189087
2022-02-22,2022-02-23,-0.015536505728960037
2022-02-23,2022-02-24,-0.2925007939338684
2022-02-24,2022-02-25,0.11251892149448395
2022-02-25,2022-02-28,0.35528451204299927
2022-02-28,2022-03-01,0.3377001881599426
2022-03-01,2022-03-02,0.16527223587036133
2022-03-02,2022-03-03,-0.12594473361968994
2022-03-03,2022-03-04,0.0651165172457695
2022-03-04,2022-03-07,1.5478973388671875
2022-03-07,2022-03-08,-0.3151332139968872
2022-03-08,2022-03-09,-0.37251198291778564
2022-03-09,2022-03-10,-1.9156349897384644
2022-03-10,2022-03-11,-1.6429880857467651
2022-03-11,2022-03-14,-1.0045443773269653
2022-03-14,2022-03-15,-0.8660410642623901
2022-03-15,2022-03-16,-3.615474224090576
2022-03-16,2022-03-17,-3.4013445377349854
2022-03-17,2022-03-18,-2.1857357025146484
2022-03-18,2022-03-21,-1.38105309009552
2022-03-21,2022-03-22,-1.096160650253296
2022-03-22,2022-03-23,-1.4555600881576538
2022-03-23,2022-03-24,-1.3892759084701538
2022-03-24,2022-03-25,-1.5082699060440063
2022-03-25,2022-03-28,-1.192914605140686
2022-03-28,2022-03-29,-1.5119651556015015
2022-03-29,2022-03-30,-1.189317226409912
2022-03-30,2022-03-31,-0.8044523596763611
2022-03-31,2022-04-01,-0.8757262825965881
2022-04-01,2022-04-06,-1.2119871377944946
2022-04-06,2022-04-07,-1.0920805931091309
2022-04-07,2022-04-08,-1.0266075134277344
2022-04-08,2022-04-11,-1.2228128910064697
2022-04-11,2022-04-12,-1.1268783807754517
2022-04-12,2022-04-13,-1.611994743347168
2022-04-13,2022-04-14,-1.3527804613113403
2022-04-14,2022-04-15,-1.3708758354187012
2022-04-15,2022-04-18,0.9204574227333069
2022-04-18,2022-04-19,1.5009024143218994
2022-04-19,2022-04-20,1.4134306907653809
2022-04-20,2022-04-21,1.6081680059432983
2022-04-21,2022-04-22,0.32242488861083984
2022-04-22,2022-04-25,1.607730507850647
2022-04-25,2022-04-26,0.06824588775634766
2022-04-26,2022-04-27,0.3975968360900879
2022-04-27,2022-04-28,0.44008588790893555
2022-04-28,2022-04-29,1.2179417610168457
2022-04-29,2022-05-05,1.2199811935424805
2022-05-05,2022-05-06,1.3444169759750366
2022-05-06,2022-05-09,1.2250072956085205
2022-05-09,2022-05-10,0.8728087544441223
2022-05-10,2022-05-11,0.7698009610176086
2022-05-11,2022-05-12,0.3542090356349945
2022-05-12,2022-05-13,0.38082894682884216
2022-05-13,2022-05-16,0.4020322263240814
2022-05-16,2022-05-17,1.0625594854354858
2022-05-17,2022-05-18,1.0148646831512451
2022-05-18,2022-05-19,0.7084226012229919
2022-05-19,2022-05-20,0.7103528380393982
2022-05-20,2022-05-23,-1.107295036315918
2022-05-23,2022-05-24,-0.7176108956336975
2022-05-24,2022-05-25,-0.7576261162757874
2022-05-25,2022-05-26,-1.2151620388031006
2022-05-26,2022-05-27,-1.201082706451416
2022-05-27,2022-05-30,-1.1007567644119263
2022-05-30,2022-05-31,-0.8848099112510681
2022-05-31,2022-06-01,-0.7957195043563843
2022-06-01,2022-06-02,-0.2012423723936081
2022-06-02,2022-06-06,-0.4976128339767456
2022-06-06,2022-06-07,-0.32870370149612427
2022-06-07,2022-06-08,-0.5244234204292297
2022-06-08,2022-06-09,-0.6578434109687805
2022-06-09,2022-06-10,-0.4181935787200928
2022-06-10,2022-06-13,-1.2767888307571411
2022-06-13,2022-06-14,-0.7503910064697266
2022-06-14,2022-06-15,-1.3177639245986938
2022-06-15,2022-06-16,-1.5603617429733276
2022-06-16,2022-06-17,-2.348048686981201
2022-06-17,2022-06-20,-2.506621837615967
2022-06-20,2022-06-21,-1.2142611742019653
2022-06-21,2022-06-22,-1.0670720338821411
2022-06-22,2022-06-23,-0.8327847719192505
2022-06-23,2022-06-24,-1.403996229171753
2022-06-24,2022-06-27,-1.4443608522415161
2022-06-27,2022-06-28,-0.7314484715461731
2022-06-28,2022-06-29,-0.9084307551383972
2022-06-29,2022-06-30,-0.6058483123779297
2022-06-30,2022-07-01,-0.07604925334453583
2022-07-01,2022-07-04,0.058859240263700485
2022-07-04,2022-07-05,-0.24486486613750458
2022-07-05,2022-07-06,-0.35804423689842224
2022-07-06,2022-07-07,-0.4045182466506958
2022-07-07,2022-07-08,-0.24494145810604095
2022-07-08,2022-07-11,-0.13007371127605438
2022-07-11,2022-07-12,-0.6454173922538757
2022-07-12,2022-07-13,-1.310719609260559
2022-07-13,2022-07-14,-0.7991806268692017
2022-07-14,2022-07-15,-0.3813377618789673
2022-07-15,2022-07-18,-0.04735373333096504
2022-07-18,2022-07-19,0.08896078169345856
2022-07-19,2022-07-20,-0.0028320439159870148
2022-07-20,2022-07-21,0.15886391699314117
2022-07-21,2022-07-22,0.09987379610538483
2022-07-22,2022-07-25,0.006788264960050583
2022-07-25,2022-07-26,-0.11079107224941254
2022-07-26,2022-07-27,-0.30075937509536743
2022-07-27,2022-07-28,0.06867875158786774
2022-07-28,2022-07-29,-0.02384291961789131
2022-07-29,2022-08-01,0.21365059912204742
2022-08-01,2022-08-02,0.17643319070339203
2022-08-02,2022-08-03,0.7591725587844849
2022-08-03,2022-08-04,0.37102431058883667
2022-08-04,2022-08-05,0.514184832572937
2022-08-05,2022-08-08,0.7482849955558777
2022-08-08,2022-08-09,0.7903319597244263
2022-08-09,2022-08-10,0.8780437111854553
2022-08-10,2022-08-11,0.7233070731163025
2022-08-11,2022-08-12,-0.06138975918292999
2022-08-12,2022-08-15,0.1305280178785324
2022-08-15,2022-08-16,0.34168314933776855
2022-08-16,2022-08-17,0.5893811583518982
2022-08-17,2022-08-18,0.14590959250926971
2022-08-18,2022-08-19,0.250601589679718
2022-08-19,2022-08-22,0.5152166485786438
2022-08-22,2022-08-23,0.24442048370838165
2022-08-23,2022-08-24,0.4356858730316162
2022-08-24,2022-08-25,0.8098593354225159
2022-08-25,2022-08-26,0.15363387763500214
2022-08-26,2022-08-29,0.6405996680259705
2022-08-29,2022-08-30,0.813127875328064
2022-08-30,2022-08-31,1.0557231903076172
2022-08-31,2022-09-01,-0.022050097584724426
2022-09-01,2022-09-02,1.9767000675201416
2022-09-02,2022-09-05,1.1751275062561035
2022-09-05,2022-09-06,0.9762270450592041
2022-09-06,2022-09-07,0.6607085466384888
2022-09-07,2022-09-08,0.2001173198223114
2022-09-08,2022-09-09,-0.30659011006355286
2022-09-09,2022-09-13,-0.041029833257198334
2022-09-13,2022-09-14,-0.650385856628418
2022-09-14,2022-09-15,-0.47870126366615295
2022-09-15,2022-09-16,-4.100603103637695
2022-09-16,2022-09-19,-2.435850143432617
2022-09-19,2022-09-20,-0.25347140431404114
2022-09-20,2022-09-21,-1.907212734222412
2022-09-21,2022-09-22,-2.5958142280578613
2022-09-22,2022-09-23,-2.3186585903167725
2022-09-23,2022-09-26,-3.6243715286254883
2022-09-26,2022-09-27,-1.5408177375793457
2022-09-27,2022-09-28,-1.5599912405014038
2022-09-28,2022-09-29,-2.5203914642333984
2022-09-29,2022-09-30,-1.8985804319381714
2022-09-30,2022-10-10,-0.18271544575691223
2022-10-10,2022-10-11,0.08586716651916504
2022-10-11,2022-10-12,-0.014633890241384506
2022-10-12,2022-10-13,-0.09043657779693604
2022-10-13,2022-10-14,-0.4036688804626465
2022-10-14,2022-10-17,-0.3374628722667694
2022-10-17,2022-10-18,-0.8655095100402832
2022-10-18,2022-10-19,-1.1203112602233887
2022-10-19,2022-10-20,-1.0667222738265991
2022-10-20,2022-10-21,-0.6627798080444336
2022-10-21,2022-10-24,-0.5316252708435059
2022-10-24,2022-10-25,-0.5399888753890991
