signal_date,available_date,SVM
2025-12-31,2026-01-05,1.965287685394287
2026-01-05,2026-01-06,-1.5792278051376343
2026-01-06,2026-01-07,-0.8880636096000671
2026-01-07,2026-01-08,-0.8317447304725647
2026-01-08,2026-01-09,-1.249781608581543
2026-01-09,2026-01-12,-1.8216615915298462
2026-01-12,2026-01-13,-1.021523118019104
2026-01-13,2026-01-14,-1.5206018686294556
2026-01-14,2026-01-15,-1.2406024932861328
2026-01-15,2026-01-16,-0.9890301823616028
2026-01-16,2026-01-19,-1.091063141822815
2026-01-19,2026-01-20,-1.265137791633606
2026-01-20,2026-01-21,-0.532707929611206
2026-01-21,2026-01-22,-0.7045347094535828
2026-01-22,2026-01-23,-0.5200369954109192
2026-01-23,2026-01-26,-0.7887795567512512
2026-01-26,2026-01-27,-0.9228386282920837
2026-01-27,2026-01-28,-0.9299498200416565
2026-01-28,2026-01-29,-1.025022268295288
2026-01-29,2026-01-30,-0.9443358778953552
2026-01-30,2026-02-02,0.172672837972641
2026-02-02,2026-02-03,-0.26458051800727844
2026-02-03,2026-02-04,-0.9518277645111084
2026-02-04,2026-02-05,-2.6668293476104736
2026-02-05,2026-02-06,-1.4001505374908447
2026-02-06,2026-02-09,-0.9556616544723511
2026-02-09,2026-02-10,-0.6544985771179199
2026-02-10,2026-02-11,-1.1590468883514404
2026-02-11,2026-02-12,-3.2337753772735596
2026-02-12,2026-02-13,-2.784053325653076
2026-02-13,2026-02-24,-1.0685124397277832
2026-02-24,2026-02-25,1.2103962898254395
2026-02-25,2026-02-26,-0.07565739005804062
2026-02-26,2026-02-27,2.009308099746704
2026-02-27,2026-03-02,1.6150257587432861
2026-03-02,2026-03-03,0.7672838568687439
2026-03-03,2026-03-04,0.5624412298202515
2026-03-04,2026-03-05,0.36207783222198486
2026-03-05,2026-03-06,0.2392839789390564
2026-03-06,2026-03-09,-0.12366098165512085
2026-03-09,2026-03-10,-0.255901038646698
2026-03-10,2026-03-11,-0.7311603426933289
2026-03-11,2026-03-12,-0.30716603994369507
2026-03-12,2026-03-13,-0.005262255668640137
2026-03-13,2026-03-16,0.06327939033508301
2026-03-16,2026-03-17,-0.6203069686889648
2026-03-17,2026-03-18,-1.2028613090515137
2026-03-18,2026-03-19,-1.0753157138824463
2026-03-19,2026-03-20,-0.3142922520637512
2026-03-20,2026-03-23,-0.20115697383880615
2026-03-23,2026-03-24,-0.7612596154212952
2026-03-24,2026-03-25,-2.0930163860321045
2026-03-25,2026-03-26,-2.0426032543182373
2026-03-26,2026-03-27,-1.5357561111450195
2026-03-27,2026-03-30,-1.6439239978790283
2026-03-30,2026-03-31,-1.1145999431610107
2026-03-31,2026-04-01,-1.0456995964050293
2026-04-01,2026-04-02,-0.7067845463752747
2026-04-02,2026-04-03,-1.0439642667770386
2026-04-03,2026-04-07,-1.311613917350769
2026-04-07,2026-04-08,-0.5598888993263245
2026-04-08,2026-04-09,-0.7453821897506714
2026-04-09,2026-04-10,-0.22181105613708496
2026-04-10,2026-04-13,-0.3377072215080261
2026-04-13,2026-04-14,-0.6639649271965027
2026-04-14,2026-04-15,-0.8054441809654236
2026-04-15,2026-04-16,-1.1312098503112793
2026-04-16,2026-04-17,-1.1367170810699463
2026-04-17,2026-04-20,-1.2469298839569092
2026-04-20,2026-04-21,-1.096604585647583
2026-04-21,2026-04-22,-0.788957417011261
2026-04-22,2026-04-23,-1.1054401397705078
2026-04-23,2026-04-24,-0.6660783290863037
2026-04-24,2026-04-27,-0.561519205570221
2026-04-27,2026-04-28,-0.6791961789131165
2026-04-28,2026-04-29,-0.36187100410461426
2026-04-29,2026-04-30,-0.3160110116004944
2026-04-30,2026-05-06,-0.13917797803878784
2026-05-06,2026-05-07,0.503334105014801
2026-05-07,2026-05-08,0.4399476647377014
2026-05-08,2026-05-11,1.1679757833480835
2026-05-11,2026-05-12,-0.5422601103782654
2026-05-12,2026-05-13,0.12422744929790497
2026-05-13,2026-05-14,1.076207160949707
2026-05-14,2026-05-15,0.7486453652381897
2026-05-15,2026-05-18,0.9836508631706238
2026-05-18,2026-05-19,2.126020669937134
2026-05-19,2026-05-20,1.3322769403457642
2026-05-20,2026-05-21,0.10085992515087128
2026-05-21,2026-05-22,-3.0448861122131348
2026-05-22,2026-05-25,-1.5017130374908447
2026-05-25,2026-05-26,-2.266594409942627
2026-05-26,2026-05-27,-1.3605504035949707
2026-05-27,2026-05-28,-2.200437068939209
2026-05-28,2026-05-29,-1.1727524995803833
2026-05-29,2026-06-01,-2.951244592666626
2026-06-01,2026-06-02,-0.11918489634990692
2026-06-02,2026-06-03,2.574094533920288
2026-06-03,2026-06-04,1.5878393650054932
2026-06-04,2026-06-05,3.032555341720581
2026-06-05,2026-06-08,2.0426223278045654
2026-06-08,2026-06-09,2.5351250171661377
2026-06-09,2026-06-10,2.128033399581909
2026-06-10,2026-06-11,1.86592435836792
2026-06-11,2026-06-12,1.7994260787963867
