date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2020-01-02,-0.07708409924604251,-0.04013259265653259,0.00416248301507784,0.018599593086606442,0.003632455187948802,0.013670398640238017,0.004673134973358975,0.018107800060635403,0.006910179648584761,0.020535336716484765,0.008577242493005876,0.017530954977674255,0.008368750406177048,0.020080732763577563,0.17916060595309893,0.17633297251999022
2020-01-03,-0.03183005447158542,0.059458860483144596,0.00894042924700568,0.02524973308461571,0.009121489321890804,0.017132230257115896,0.010036106973037764,0.017866472195379186,0.008313270575871782,0.014236300413629168,0.01141166908963708,0.019382555177574645,0.013317789807508272,0.02023569776894683,0.17865355361375457,0.17551176450144232
2020-01-06,-0.0007050083626173704,-0.03159445769484764,0.00022327360481283254,-0.015577602359181686,-0.003665380983614672,-0.0015917171897373605,-0.004223020805800091,-0.00208627141431324,-0.0035975898638532524,0.003233915092937638,-0.0028310840728255036,0.003028835108453512,-0.0010666900177544207,0.0052218457770015015,0.18461650946845068,0.17393400840394022
2020-01-07,-0.014066059980476173,0.02774732937166717,0.008296725486433938,0.009721811499532933,0.005930764115025009,0.0012511516473812812,0.005046249679904483,0.014760163407714149,0.004939949681496689,0.018019949071622368,0.00493216671625487,0.01675894725468678,0.006470044968940006,0.015224625868579734,0.18596258653704523,0.15885498584460522
2020-01-08,-0.00033365491584969276,-0.13101403106593115,-0.008649952509207956,-0.0186640096065062,-0.011103986475388725,-0.011504415619835088,-0.011151386749142402,-0.005699879595790405,-0.011531034361600944,-0.005872117187567719,-0.00949927089991758,-0.004101305911257862,-0.009140924075944466,0.0022179450512756316,0.18872155162748983,0.17171614131728383
2020-01-09,-0.04101257514770952,-0.14723728435499214,-0.009641836285844443,-0.008774528675543812,-0.009015261228560644,-0.003469807468509707,-0.010800781259678982,0.00561645156498667,-0.010156863252128256,0.007228789341068781,-0.009128446769604793,0.005322636732249137,-0.008889404645083981,0.0040144326596503336,0.18769047796030625,0.16680980379203278
2020-01-10,-0.06931475248981221,-0.1399589656751804,-0.01702870797591455,0.009836622574721874,-0.017366087819163347,-0.0019369633861481739,-0.014999886488631846,0.0011847538431580418,-0.014313328179443674,0.00039039163397722507,-0.010679318181907446,0.0006437650350479797,-0.010896634481598274,0.004495874345270119,0.1796705447041662,0.17227263423620112
2020-01-13,-0.05450618768889169,-0.17122231865156684,-0.026922900064431984,-0.031672740839627435,-0.02666802886203352,-0.02732277796987832,-0.02301281442654202,-0.02177076424862736,-0.023674585423826996,-0.016871253702032865,-0.021451238670121248,-0.009284689637561514,-0.018809843717594123,-0.008089188511143828,0.18304396679836166,0.18642941523922033
2020-01-14,0.021599523413870468,-0.06645786216393636,-0.023954262529625386,-0.01710291779355016,-0.013262069448319109,-0.016610885435642077,-0.013530286443796304,-0.005166204243767079,-0.011002039027319901,-0.007740292417636642,-0.008339721300146014,-0.003686612114719035,-0.005874595848885251,-0.003289633189615683,0.19806251715888143,0.194650015417823
2020-01-15,0.1146069672864863,-0.06246350686780095,-0.036998940924912654,-0.04549273463880677,-0.029565849072060012,-0.050166432688671485,-0.030056712736030437,-0.04472546840227707,-0.03207500649889818,-0.039601141904953695,-0.03380259975439361,-0.03773893977522682,-0.03430461227672048,-0.03757702833134534,0.2194697957409822,0.19167995141577468
