year,period,IC_mean,IC_std,ICIR,t_stat,p_value,timing_IC_mean,IC_half_life,IC_positive_rate,quintile_monotonicity,top_5%_cumulative_return,bottom_5%_cumulative_return,top_10%_cumulative_return,bottom_10%_cumulative_return,top_15%_cumulative_return,bottom_15%_cumulative_return,top_20%_cumulative_return,bottom_20%_cumulative_return,top_25%_cumulative_return,bottom_25%_cumulative_return,top_30%_cumulative_return,bottom_30%_cumulative_return,top_20%_sharpe_ratio,bottom_20%_sharpe_ratio,top_5%_max_drawdown,bottom_5%_max_drawdown,top_10%_max_drawdown,bottom_10%_max_drawdown,top_15%_max_drawdown,bottom_15%_max_drawdown,top_20%_max_drawdown,bottom_20%_max_drawdown,top_25%_max_drawdown,bottom_25%_max_drawdown,top_30%_max_drawdown,bottom_30%_max_drawdown,top_20%_bottom_20%_win_rate,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2020,5,0.0485,0.1215,0.4018,3.4704,0.000618,0.031,5.5794,0.6624,0.2393,0.1457,-0.0695,0.1219,0.1149,0.1103,0.1392,0.1463,0.0825,0.1621,0.0824,0.1858,0.0732,0.7108,0.4224,-0.1194,-0.2003,-0.1265,-0.2156,-0.1242,-0.2132,-0.1271,-0.1932,-0.1268,-0.1789,-0.1237,-0.1614,0.5,0.2101,0.1885
2021,5,0.0502,0.1252,0.403,3.5846,0.00041,0.0434,3.8447,0.6287,0.0708,0.2034,0.0371,0.1934,0.1422,0.203,0.1696,0.2025,0.1928,0.1709,0.1832,0.1721,0.1619,1.3802,1.2403,-0.0684,-0.1382,-0.0741,-0.1205,-0.068,-0.1046,-0.0642,-0.0942,-0.0661,-0.0979,-0.0624,-0.0976,0.4792,0.2138,0.1848
2022,5,0.0737,0.106,0.7041,6.6504,0.0,0.0525,7.8837,0.7627,1.0,-0.0531,-0.3496,-0.0514,-0.2853,-0.0343,-0.2623,-0.0344,-0.2574,-0.0457,-0.2354,-0.0636,-0.2351,-0.1072,-1.2714,-0.2636,-0.3797,-0.188,-0.3175,-0.1672,-0.2831,-0.1747,-0.2665,-0.2001,-0.2442,-0.2035,-0.2475,0.6042,0.2123,0.1906
2023,5,0.0498,0.1372,0.3642,3.1963,0.001583,0.0332,6.2589,0.678,0.2993,-0.0353,-0.0716,-0.0005,-0.0756,-0.0053,-0.1096,-0.0184,-0.0839,-0.0186,-0.0688,-0.0221,-0.0714,-0.1138,-0.4026,-0.145,-0.2161,-0.119,-0.2347,-0.1125,-0.2413,-0.1189,-0.2212,-0.1194,-0.1995,-0.1185,-0.1955,0.5625,0.2154,0.1884
2024,5,0.045,0.133,0.3421,3.089,0.00225,0.0161,3.9214,0.6102,0.6754,0.2494,0.1002,0.1848,-0.0224,0.1962,0.0029,0.1808,0.0068,0.1685,0.024,0.1576,0.0349,0.6291,0.2151,-0.1817,-0.2083,-0.1744,-0.2455,-0.1733,-0.2137,-0.1696,-0.2123,-0.1767,-0.2061,-0.1863,-0.2059,0.5,0.2148,0.1926
2025,5,0.0444,0.1974,0.2284,1.8909,0.059858,0.0491,3.824,0.5823,-1.0,0.3367,0.44,0.3119,0.4874,0.2725,0.4669,0.2574,0.4729,0.2406,0.4298,0.2698,0.4134,2.0238,1.7559,-0.0492,-0.2318,-0.056,-0.1848,-0.0646,-0.1882,-0.0624,-0.1915,-0.0614,-0.1827,-0.0598,-0.1784,0.4375,0.2119,0.1822
2026,5,0.0602,0.2249,0.2672,1.6324,0.105114,0.0227,3.25,0.5556,-0.2309,0.0143,-0.0843,0.0246,0.0135,0.0039,0.0167,-0.0033,0.022,-0.0338,0.0061,-0.0383,-0.0201,0.0278,0.2855,-0.1029,-0.1842,-0.0838,-0.1801,-0.0944,-0.1893,-0.0982,-0.1861,-0.1131,-0.1861,-0.1098,-0.179,0.4231,0.2251,0.1818
