date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2020-01-02,-0.092104339211049,-0.045561423383956016,0.008415618694776077,0.018599223222909664,0.008252005769536237,0.028796583046386166,0.012648897490229787,0.024207010019677604,0.013070800303857566,0.023037147458707868,0.012032167989673244,0.02193626567936368,0.015192623348799868,0.02177819919096196,0.18708554069573594,0.17653639096693002
2020-01-03,0.014700366198841332,0.06975064467040606,0.013215159200637473,0.02212648240643678,0.014564834411939778,0.023174474901044514,0.013691596240675832,0.023473008897361595,0.016254372954688703,0.020357934590887382,0.017228944537245234,0.016147452696538167,0.018921102374241505,0.017883854640709546,0.1985921585591254,0.18240924688459453
2020-01-06,0.06518865007147359,0.05169863720850038,0.003479334827429086,0.010325809972646746,0.0038011281261151808,0.006861276556117302,0.004319497038234779,0.0018011308128919534,0.0047817268515833325,0.00030162070563005905,0.004868930639118404,0.0009155466203373619,0.005729483131810985,0.0030920391016366743,0.2009870253920242,0.18977114726992597
2020-01-07,-0.017908291890261784,-0.0039408420800099726,0.0054367605038530935,0.0066750874090868,0.0071905172286107,0.01350150690309925,0.0074961303515423666,0.007929294071535297,0.008387296874241008,0.01136223928905395,0.009366776175904158,0.009443523313857059,0.00945751322154756,0.013230537270006129,0.18973549744514578,0.168423159018143
2020-01-08,-0.006079255389285775,-0.08605963702558155,-0.012051850423276616,0.000151627033766224,-0.010238202841757922,-0.0010321555767428302,-0.010079326400125004,0.002388117182211172,-0.00797853761478921,0.002838321534851832,-0.006889470600951018,-0.0007821042858323253,-0.007626272579289332,-0.001892100239700562,0.19568334172898827,0.16822118587608262
2020-01-09,-0.12440167835198092,-0.2029790081207253,-0.004816276415796992,0.03599125674281443,-0.008779598912950224,0.023412500245417613,-0.009684436866091294,0.016905354139530326,-0.009735798368963273,0.011831507579421939,-0.009108122761392808,0.00932366018872975,-0.009215364425700348,0.007156765603185877,0.190724374952791,0.15535593428905434
2020-01-10,-0.13915322445648065,-0.16116715666730222,-0.014020287804512721,0.032381560016715175,-0.014092281391108716,0.02036257931294442,-0.01311034982661058,0.016419376650906006,-0.014540465503661898,0.009766901005184491,-0.015052587318554331,0.008596917014687969,-0.011220354473598615,0.008350357066201648,0.18525991415679224,0.17011385838442364
2020-01-13,-0.07744741854801326,-0.18568584670760419,-0.017706132390040832,0.02465522221812462,-0.022469657780189726,0.012346383764699797,-0.02009435030762158,0.0023814175356179092,-0.01843035186329699,-0.0050887331367953795,-0.01903477996920743,-0.006995771337059112,-0.018506853527933995,-0.005526546647098855,0.18827827902468122,0.1786725162751203
2020-01-14,-0.03566003836839427,-0.1380115668459828,-0.005463994641059151,0.027436503801109055,-0.013916552801893326,0.020841540655659286,-0.011867194827044632,0.00761620725688381,-0.009670832283267018,0.0012312071911195887,-0.009573919856211189,0.0006039738820165681,-0.00812066868224066,0.002372778416378367,0.18779517310624372,0.19088297550650135
2020-01-15,0.058456240500938034,-0.08327358831003846,-0.0296677499428986,-0.04090157544861756,-0.039734800468591826,-0.023558836382393995,-0.034672994433602854,-0.02515306678758286,-0.035536776396178645,-0.032640397928349295,-0.035367017771280714,-0.03427838504456929,-0.034534007440860146,-0.03457003453917674,0.21944118541693824,0.17897012439309637
2020-01-16,-0.014786001182507062,0.0034390634103825457,-0.11518845739856198,-0.11243218792692916,-0.1187472087571998,-0.08946372547067952,-0.11568051181900597,-0.10119454168313753,-0.11847180818793661,-0.11403786572246145,-0.11877188383479535,-0.11387793650033466,-0.11559638268579775,-0.11451760703177158,0.20662847790507366,0.1774794405004569
