date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2020-01-02,-0.04622101279244126,-0.038864527876543986,0.00902755113881918,-0.001156477431102516,0.009541489393156905,0.00988366393883465,0.011203664870390366,0.013193185837408932,0.011862928623407702,0.015531239830778356,0.010010848862323887,0.016462749245321706,0.011605171146450708,0.016932902946503424,0.18824318783315316,0.1872103799814643
2020-01-03,0.022501059553974842,0.0821053320490933,0.018011733983019373,0.020355675470338012,0.015851606587875954,0.021044786598422904,0.01527010244213197,0.02352949920539054,0.018931418748320404,0.021292337153367383,0.0202280430095281,0.01951327910437943,0.020894625978312167,0.020879214563070483,0.2097350278262314,0.18806792790108745
2020-01-06,0.004501235047458327,-0.020802997976612263,-0.005348006122581928,-0.01829962349722166,0.00153944966502922,-0.00033997825854787723,0.0011119744756197126,0.010052362652244923,0.00342464901321792,0.007220795764644714,0.002599587619577245,0.007729296590604618,0.0018602592153118354,0.0060491868827219734,0.20453624949372215,0.17625911835538027
2020-01-07,0.00705546109037011,0.04974095977118353,0.006606576414465777,0.005484593246418927,0.005115371331266205,0.0165138383186979,0.005908590199883757,0.016337736510662962,0.005749261845321678,0.012025085931345974,0.007021609686965243,0.016283660709244367,0.008153076232524589,0.017884110911540102,0.19133136318860347,0.16106911619302777
2020-01-08,-0.006562259668765668,-0.11785643746900368,-0.011723475457752687,-0.005205763037005174,-0.010577806753361374,0.005033284079982794,-0.012084045862324864,0.00043073066544570287,-0.010332348395448318,0.004628774040538691,-0.0075046899590015485,0.005502089352433516,-0.00794140827420246,0.004279834872065159,0.1937687053948277,0.16693663019404317
2020-01-09,-0.0762386552219392,-0.15797086940818778,-0.011924068169858661,0.008019704960122356,-0.011221836821217801,0.0008631324378051675,-0.009211869726511461,0.002054941409160113,-0.010208006079553793,0.005978279144338438,-0.009778228079321973,0.010006996403620983,-0.008398514085118448,0.007858117756180328,0.1869885585218647,0.16089976422608807
2020-01-10,-0.07365584258296418,-0.12538557375273862,-0.014893581342984042,0.01371723823560178,-0.01439102700062642,0.0038835614830550693,-0.014365046904774687,0.004397954767464415,-0.013354023658960424,0.0025173753036149982,-0.009601062096495378,0.0039032124788321017,-0.007991585956871433,0.00446870632325543,0.18120492303276042,0.17396396706741535
2020-01-13,-0.054201857334214634,-0.14257558909191656,-0.02415751112234288,-0.006076555454192136,-0.021699826369352478,-0.002577414119387471,-0.020705259678826627,-0.006783925831174378,-0.01988328928934281,-0.008907548094313182,-0.018974809250175043,-0.004215215368017733,-0.016037187415588225,-0.005347269068418274,0.19883455390188204,0.18463675916785494
2020-01-14,0.009419997818872908,-0.08775090718291206,-0.010011473521489851,-0.004136900518254252,-0.009393401544763797,-0.0019409987304387477,-0.005201971342160425,-0.005618113097530305,-0.007847828042594786,0.006659155438412612,-0.006941945958613421,0.004854233084407836,-0.004643284625743824,0.004005186110119738,0.20437897122505969,0.18899700598802396
2020-01-15,0.09120339481945762,-0.0748019436290866,-0.019018425494354778,-0.03513989445650249,-0.025130212064056988,-0.042915636531462874,-0.03160258254006024,-0.03819975344499128,-0.03436523389901342,-0.037019845037872645,-0.02823065396282912,-0.033952756863272406,-0.03161806632050981,-0.033888255843270855,0.2192506403855338,0.18502234923426394
